day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,Q-Learning,tou,0.506,0.14495720756741987,0.14495720756741987,0.3061494493882641,0.06898047748933193,1608,1180,1106,1.472,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,tou,0.49733333333333335,0.11782816100713597,0.11782816100713597,0.38752325830383927,0.06903301198087809,1522,1192,1105,1.4408,v3-2026-07-30-trip-suppression-fix
3,Q-Learning,tou,0.4573333333333333,0.1820985176699117,0.1820985176699117,0.3337094673769641,0.11989481590837357,1668,1437,1247,1.316,v3-2026-07-30-trip-suppression-fix
4,Q-Learning,tou,0.41733333333333333,0.21907376313606824,0.21907376313606824,0.3376500917258773,0.09296505087461464,1577,1368,1159,1.188,v3-2026-07-30-trip-suppression-fix
5,Q-Learning,tou,0.3586666666666667,0.13147806516057675,0.13147806516057675,0.1606769753428308,0.09726593435457107,1581,1294,1091,1.0296,v3-2026-07-30-trip-suppression-fix
6,Q-Learning,tou,0.3393333333333333,0.11995604864940079,0.11995604864940079,0.18119527620429862,0.07258592980037588,1539,1209,1080,0.9512,v3-2026-07-30-trip-suppression-fix
7,Q-Learning,tou,0.33,0.0976548892766369,0.0976548892766369,0.3830801297165884,0.08086997348553769,1579,1269,1145,0.9224,v3-2026-07-30-trip-suppression-fix
8,Q-Learning,tou,0.282,0.10395862233003587,0.10395862233003587,0.20365826344713012,0.07450647165583922,1461,1248,1230,0.7792,v3-2026-07-30-trip-suppression-fix
9,Q-Learning,tou,0.27666666666666667,0.09164532872264118,0.09164532872264118,0.1532876651848167,0.09758205323850938,1601,1228,1133,0.7504,v3-2026-07-30-trip-suppression-fix
10,Q-Learning,tou,0.29333333333333333,0.1132892601888976,0.1132892601888976,0.12772267828878572,0.09366814424015425,1371,1173,1164,0.8064,v3-2026-07-30-trip-suppression-fix
11,Q-Learning,tou,0.25933333333333336,0.12172875198153925,0.12172875198153925,0.14069412033813758,0.09377879265883109,1373,1138,1120,0.7104,v3-2026-07-30-trip-suppression-fix
12,Q-Learning,tou,0.23333333333333334,0.12829167256862875,0.12829167256862875,0.23268364207387035,0.09069126504327539,1459,1046,1206,0.6616,v3-2026-07-30-trip-suppression-fix
13,Q-Learning,tou,0.24066666666666667,0.10466467066164005,0.10466467066164005,0.19315388828955637,0.08889060908320007,1391,1108,1202,0.664,v3-2026-07-30-trip-suppression-fix
14,Q-Learning,tou,0.226,0.06493400023287901,0.06493400023287901,0.2596111902169945,0.0731744935304308,1524,1163,1040,0.616,v3-2026-07-30-trip-suppression-fix
