day,rule,regime,hour,vc_inner,vc_boundary,vc_peripheral,vcf_mwy,vcf_cbd,vcf_east,vcf_west,ef_mwy,ef_cbd,ef_east,ef_west
1,El Farol,No-Charge,0,0.009789438469838258,0.010223914288311804,0.004976066834778746,0.23974972873041173,0.5242304566587775,0.5080025752535883,0.6494718220645128,0.6224932483619873,8.910320594246725,16.986400433859792,17.011501659298194
1,El Farol,No-Charge,1,0.0075219828520082365,0.010828788538243471,0.005632090232056554,0.26150731776580516,0.5328765300388659,0.5796588482486007,0.7725615925106806,1.3342538637022663,8.107741420592596,24.331384595342705,21.81806917551859
1,El Farol,No-Charge,2,0.006715768900110826,0.010031019805298984,0.0076525188072515266,0.2602581141408681,0.5286809205562221,0.5662694082822107,0.737676263584591,1.4209015740879474,8.619746906931553,23.835519692569868,19.963476933864268
1,El Farol,No-Charge,3,0.009652892069935748,0.010228316735346509,0.005038911728151002,0.21833514456719239,0.4490676695765711,0.4897807275125441,0.6231088157590104,1.2544033597515087,6.377702274844088,13.187825376049448,19.868464767388275
1,El Farol,No-Charge,4,0.005445852250297349,0.006312257110757058,0.004519577039149696,0.20696533831948938,0.41067796549627733,0.3992751052346464,0.5645870243232636,0.9892068494216056,6.3809514840408,6.629112338233119,19.846166452153884
1,El Farol,No-Charge,5,0.002364289412352302,0.004921322061275584,0.003443262734403725,0.06619314828279131,0.16144161495465525,0.17231633879864794,0.1898507934241409,0,1.1292929187575356,2.2287628160387722,2.6853480143208333
1,El Farol,No-Charge,6,0.024391220214484186,0.03444698846914655,0.01415856710355347,0.3133198631991927,0.5291195525103518,0.606926645346637,0.7351106351122733,1.9363340720980817,10.4392304403187,23.35729837156082,21.10429179581382
1,El Farol,No-Charge,7,0.052773774878020166,0.1369992853306489,0.0413815705418307,0.8531175368690566,1.4021640817364733,1.8386079825591253,1.9105215908932518,38.29591748715263,63.44157903364336,76.05973908997416,62.97938356610028
1,El Farol,No-Charge,8,0.09694049433990261,0.36235969904779963,0.0828472479422346,1.4850194526831013,2.364212749151393,3.0396003105320735,3.042441831708302,89.44940652385807,82.11840620748548,87.0460314607605,81.89932583083782
1,El Farol,No-Charge,9,0.10945433997023139,0.6323937277288046,0.08337055907304383,1.787707960254274,3.1715762111140755,3.8072808935683784,3.7724350971822105,93.18850320271106,91.79497343506847,91.0424190758841,84.92611863192661
1,El Farol,No-Charge,10,0.08074804323881486,0.702679522736631,0.05086666723892915,1.6270292584583652,3.094671856690663,3.698349441621198,3.7790081854778683,90.06148060257478,92.17724761401959,89.95495233097999,83.89009044096693
1,El Farol,No-Charge,11,0.05333459959632287,0.5727132723177132,0.024673404725718648,1.3212945062493526,2.5729999597752538,2.9885412353092975,3.294499251619575,78.82948294312213,87.09603403305636,87.1553741142626,75.13321982194405
1,El Farol,No-Charge,12,0.04019186628272889,0.47979133191680035,0.02356164659366219,1.0389883335461583,2.107150335619171,2.1705393384266807,2.8246489058224293,64.27590245938818,82.15622674253811,82.83000750901091,67.59434447633515
1,El Farol,No-Charge,13,0.05181892885653492,0.39921308817753987,0.023697208156671902,1.0097122035616926,2.005051744672514,1.928524261563155,2.899200065162464,58.85198523292831,79.48948267488018,75.29060238685136,68.3502375937107
1,El Farol,No-Charge,14,0.0384172061887179,0.3085012340074508,0.020671345372463058,0.9614288787609659,1.89981832223379,1.8679229212638941,2.8658501929604387,51.859015009659224,81.09552819366803,73.85020405130243,69.74055391854041
1,El Farol,No-Charge,15,0.044583573634818026,0.20572691963504802,0.028675036744994387,0.9957137928081026,1.9493698086025333,1.6732111057190033,3.131697605355515,44.02559171706729,78.7543859034387,73.03148318021998,69.54352750446208
