day,rule,regime,hour,vc_inner,vc_boundary,vc_peripheral,vcf_mwy,vcf_cbd,vcf_east,vcf_west,ef_mwy,ef_cbd,ef_east,ef_west
4,Q-Learning,No-Charge,9,0.08263237075637056,0.567895788459996,0.06954252344521686,1.7937646073370679,2.955123779006806,3.8123435329218047,3.84646661744262,93.4810126998445,89.00186992291576,89.97025880308922,84.92110182412083
4,Q-Learning,No-Charge,10,0.05133700671826542,0.5594361405107523,0.04472888048937113,1.5320991777709845,2.690529032830136,3.3521035118847853,3.6524522752751873,91.53292679555197,88.1812365148511,88.2480841388617,81.88201384186034
4,Q-Learning,No-Charge,11,0.026996272987899535,0.38642964716936345,0.0207262460962737,1.2008735203658178,2.155375850777524,2.531683791328587,3.030261282692352,77.64379825064289,79.49942712291309,82.31506228420058,75.9508806360335
4,Q-Learning,No-Charge,12,0.0528632072343754,0.2682444154683793,0.01791204518165963,1.03843432906913,1.8818517856259314,1.8042151888510698,2.831040963983643,52.71183355086781,75.60122323256347,72.7395394402441,65.5249985788427
4,Q-Learning,No-Charge,13,0.03738530827158095,0.15596440733567649,0.022107331227479994,0.9360795136401724,1.903955799949407,1.6560055524665949,2.8925431326142013,43.25725335536716,75.86044782940351,70.81911341391755,64.6876893641742
4,Q-Learning,No-Charge,14,0.030764231184926178,0.06890548359399211,0.023785276433798283,0.9355967729882616,1.9141035288179944,1.6984983732091752,2.8228548420853388,48.145331089913036,75.92479524808905,75.38656992233302,67.76167200305059
4,Q-Learning,No-Charge,15,0.028080996179691002,0.040681424722203756,0.0248087140341556,0.9426798264926894,1.7466994909294449,1.809427854953193,2.481980278248579,45.83713168507568,74.12094341908106,77.5950219054728,73.10829585953978
4,Q-Learning,No-Charge,16,0.03581254212305582,0.09007850240635086,0.03534917500752076,1.0704950178984434,1.8209990964404918,2.0044302324587835,2.594546103075244,65.60078222728659,76.62971900575441,79.86582134284582,79.72576451932578
4,Q-Learning,No-Charge,17,0.038962007629023375,0.13063609443024848,0.04419738497377209,1.2641399067776837,2.1270403203340638,2.4981784165175656,3.030463134908167,83.67308252528954,77.08515330796142,83.22662914137305,80.64666080120385
4,Q-Learning,No-Charge,18,0.04636885151706434,0.1781633061353423,0.042108312203435944,1.4163035541783544,2.3872322059304643,2.601670521367128,3.3973709685846423,86.40907130289699,80.00674133803619,84.27683348715307,82.38616993438819
