"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"equity-quintile"
"08/07/2026 14:37:20:131 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","control-seed?","current-seed","[step]","current-sim-day","peak-vc-inner","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","burden-quintile 1","burden-quintile 5","mean [fee-paid-today] of vehicles"
"3","El Farol","No-Charge","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","tou","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","tou","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Q-Learning","No-Charge","0","14","true","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","0","14","true","11","1","1","0.11760843928604141","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","1.1183588415329553","0.21956640735600164","1.3584"
"2","Exp-Decay","tou","0","14","true","11","1","1","0.07898121818838348","0.2847682119205298","0.3460207612456747","0.44107744107744107","0.43902439024390244","0.49538461538461537","0.43252595155709345","0.3839479392624729","1.0434139396600657","0.2217348199200256","1.1344"
"5","Q-Learning","No-Charge","0","14","true","11","1","1","0.11760843928604141","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","0","0","0"
"4","El Farol","tou","0","14","true","11","1","1","0.11687938425359243","0.4602649006622517","0.5259515570934256","0.5993265993265994","0.6202090592334495","0.676923076923077","0.5570934256055363","0.5911062906724512","1.0929817584981623","0.2170524634820575","1.624"
"1","Exp-Decay","No-Charge","0","14","true","11","1","1","0.11002846511464752","0.543046357615894","0.532871972318339","0.5420875420875421","0.5331010452961672","0.5415384615384615","0.5294117647058824","0.544468546637744","0","0","0"
"3","El Farol","No-Charge","0","14","true","11","1","1","0.1280140127054032","0.7615894039735099","0.7439446366782007","0.7777777777777778","0.7212543554006968","0.6984615384615385","0.7076124567474048","0.7603036876355749","0","0","0"
"6","Q-Learning","tou","0","14","true","11","2","2","0.10410630523879143","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","1.1793166139307245","0.2329464135800727","1.4376"
"2","Exp-Decay","tou","0","14","true","11","2","2","0.12097163849234234","0.24172185430463577","0.33217993079584773","0.45454545454545453","0.43205574912891986","0.5076923076923077","0.4013840830449827","0.3915401301518438","1.1332882956079346","0.22509200496276344","1.1264"
"5","Q-Learning","No-Charge","0","14","true","11","2","2","0.10410630523879143","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","2","2","0.0983197856424951","0.5496688741721855","0.5051903114186851","0.5185185185185185","0.5331010452961672","0.47692307692307695","0.5242214532871973","0.5108459869848156","0","0","0"
"4","El Farol","tou","0","14","true","11","2","2","0.16276710730724306","0.890728476821192","0.9134948096885813","0.9158249158249159","0.926829268292683","0.9353846153846154","0.9083044982698962","0.9219088937093276","1.1330994217913295","0.216236663408235","2.624"
"3","El Farol","No-Charge","0","14","true","11","2","2","0.15546611314838601","0.9403973509933775","0.9238754325259516","0.9225589225589226","0.9337979094076655","0.9230769230769231","0.9221453287197232","0.9327548806941431","0","0","0"
"6","Q-Learning","tou","0","14","true","11","3","3","0.11214837710042055","0.423841059602649","0.4671280276816609","0.5016835016835017","0.42857142857142855","0.4461538461538462","0.43252595155709345","0.46637744034707157","1.2248380254977622","0.21760502948043575","1.2872"
"2","Exp-Decay","tou","0","14","true","11","3","3","0.09619686419538055","0.23841059602649006","0.32525951557093424","0.39057239057239057","0.4808362369337979","0.4430769230769231","0.3719723183391003","0.37852494577006507","1.0842262928345079","0.2224750946259762","1.056"
"5","Q-Learning","No-Charge","0","14","true","11","3","3","0.1480819619967943","0.49337748344370863","0.5294117647058824","0.5218855218855218","0.5505226480836237","0.5323076923076923","0.49480968858131485","0.544468546637744","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","3","3","0.11096183780942157","0.4602649006622517","0.5155709342560554","0.5185185185185185","0.5052264808362369","0.5323076923076923","0.5224913494809689","0.4967462039045553","0","0","0"
"4","El Farol","tou","0","14","true","11","3","3","0.1810421005126604","0.9304635761589404","0.9446366782006921","0.9427609427609428","0.9442508710801394","0.9323076923076923","0.9377162629757786","0.9392624728850325","1.1555627465443443","0.21772243079580256","2.6968"
"3","El Farol","No-Charge","0","14","true","11","3","3","0.17189700341787462","0.9172185430463576","0.903114186851211","0.9225589225589226","0.9233449477351916","0.9384615384615385","0.9273356401384083","0.9175704989154013","0","0","0"
"2","Exp-Decay","tou","0","14","true","11","4","4","0.07475237388383282","0.23178807947019867","0.356401384083045","0.3602693602693603","0.46689895470383275","0.5015384615384615","0.3875432525951557","0.38286334056399135","1.0191905613816328","0.22249631894124852","1.0824"
"6","Q-Learning","tou","0","14","true","11","4","4","0.11034559396121439","0.4304635761589404","0.4671280276816609","0.41414141414141414","0.43205574912891986","0.42153846153846153","0.43944636678200694","0.4284164859002169","1.1709200975960699","0.2124452769842091","1.2296"
"5","Q-Learning","No-Charge","0","14","true","11","4","4","0.1093046994075378","0.49337748344370863","0.5224913494809689","0.5252525252525253","0.4878048780487805","0.56","0.4982698961937716","0.5314533622559653","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","4","4","0.12878386363581742","0.5099337748344371","0.5121107266435986","0.5252525252525253","0.4634146341463415","0.49230769230769234","0.49653979238754326","0.5032537960954447","0","0","0"
"4","El Farol","tou","0","14","true","11","4","4","0.1793703142601234","0.9337748344370861","0.9238754325259516","0.9090909090909091","0.9128919860627178","0.8984615384615384","0.9256055363321799","0.9088937093275488","1.1844901475158955","0.22674648784970716","2.6416"
"3","El Farol","No-Charge","0","14","true","11","4","4","0.18794398754579628","0.9304635761589404","0.9342560553633218","0.9259259259259259","0.9337979094076655","0.9323076923076923","0.9359861591695502","0.928416485900217","0","0","0"
"6","Q-Learning","tou","0","14","true","11","5","5","0.07395739381081641","0.3741721854304636","0.35986159169550175","0.31986531986531985","0.4146341463414634","0.3323076923076923","0.370242214532872","0.3524945770065076","1.13948701041138","0.2102131645135629","1.0224"
"2","Exp-Decay","tou","0","14","true","11","5","5","0.10141478210647199","0.24172185430463577","0.32525951557093424","0.4478114478114478","0.5087108013937283","0.4553846153846154","0.39273356401384085","0.39804772234273317","1.0760345730829899","0.21365401722869556","1.1072"
"5","Q-Learning","No-Charge","0","14","true","11","5","5","0.12910370085716866","0.5165562913907285","0.4982698961937716","0.5252525252525253","0.47735191637630664","0.52","0.4913494809688581","0.5184381778741866","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","5","5","0.09286673299969381","0.5629139072847682","0.5051903114186851","0.5117845117845118","0.5574912891986062","0.5076923076923077","0.5242214532871973","0.5314533622559653","0","0","0"
"4","El Farol","tou","0","14","true","11","5","5","0.16374189968435096","0.9470198675496688","0.9377162629757786","0.9292929292929293","0.9163763066202091","0.8953846153846153","0.9325259515570934","0.9197396963123644","1.1108837636643962","0.21635825645345333","2.6128"
"3","El Farol","No-Charge","0","14","true","11","5","5","0.18547963606621393","0.9470198675496688","0.9100346020761245","0.9326599326599326","0.9024390243902439","0.9292307692307692","0.9307958477508651","0.920824295010846","0","0","0"
