day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,flat,0.47865853658536583,0.4282423243914897,0.4282423243914897,0.6127525487748944,0.1172095536884944,1040,629,689,0.7536
2,Q-Learning,flat,0.5071138211382114,0.4418843376009548,0.4418843376009548,0.5772400641058082,0.13233771806293038,1098,636,697,0.7984
3,Q-Learning,flat,0.45985772357723576,0.383349544149754,0.383349544149754,0.5900396142996265,0.12935330156376917,1018,589,665,0.724
4,Q-Learning,flat,0.4192073170731707,0.37710725772029585,0.37710725772029585,0.4938624184645308,0.13203564992216058,970,581,607,0.66
5,Q-Learning,flat,0.3871951219512195,0.31883845693508917,0.31883845693508917,0.47836576009996024,0.11135374461968325,908,569,568,0.6096
6,Q-Learning,flat,0.34959349593495936,0.3038615097522158,0.3038615097522158,0.3635872979540052,0.11039225780750395,852,524,524,0.5504
7,Q-Learning,flat,0.3384146341463415,0.2975526486421442,0.2975526486421442,0.4473598526747424,0.09368116831705432,855,542,540,0.5328
8,Q-Learning,flat,0.4959349593495935,0.41614960729261324,0.41614960729261324,0.5845809258879648,0.1348702163713105,1070,648,701,0.7808
9,Q-Learning,flat,0.33028455284552843,0.30362644281422646,0.30362644281422646,0.4700550600610832,0.11264337816314743,831,520,528,0.52
10,Q-Learning,flat,0.30589430894308944,0.3185188752993796,0.3185188752993796,0.3762175773772806,0.12152871956758204,792,504,501,0.4816
11,Q-Learning,flat,0.2916666666666667,0.26378005715981795,0.26378005715981795,0.3853437638114716,0.10438984983346959,784,513,490,0.4592
12,Q-Learning,flat,0.4608739837398374,0.4295336098447956,0.4295336098447956,0.6474516307668438,0.13671647543353665,1028,612,675,0.7256
13,Q-Learning,flat,0.2942073170731707,0.25504859750732,0.25504859750732,0.3340256451880608,0.09497651130322617,794,508,499,0.4632
14,Q-Learning,flat,0.39684959349593496,0.3012880545682105,0.3012880545682105,0.5299314784624298,0.10811851394306325,927,571,586,0.6248
15,Q-Learning,flat,0.27540650406504064,0.2560880336368501,0.2560880336368501,0.30390657090192585,0.08276620574592254,745,496,471,0.4336
16,Q-Learning,flat,0.38414634146341464,0.3473896146517411,0.3473896146517411,0.46297008825315245,0.12052973614977507,907,568,584,0.6048
17,Q-Learning,flat,0.25609756097560976,0.21956104684618066,0.21956104684618066,0.36625803731974654,0.09401025074561736,733,468,437,0.4032
18,Q-Learning,flat,0.3409552845528455,0.38030259411060024,0.38030259411060024,0.4552992336204582,0.12156014664709362,854,540,539,0.5368
19,Q-Learning,flat,0.2621951219512195,0.23975148774766747,0.23975148774766747,0.32601855044498546,0.0852598775375983,712,479,458,0.4128
20,Q-Learning,flat,0.34197154471544716,0.3093485429955722,0.3093485429955722,0.5479115845193204,0.10284678628901103,856,550,536,0.5384
