day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Exp-Decay,No-Charge,0.5386666666666666,0.11002846511464752,0.11002846511464752,0.49779311304815677,0.08917217260727155,1606,1157,1062,0
2,Exp-Decay,No-Charge,0.516,0.0983197856424951,0.0983197856424951,0.5314290038919012,0.09411341749946596,1605,1144,1063,0
3,Exp-Decay,No-Charge,0.5066666666666667,0.11096183780942157,0.11096183780942157,0.5784274315086452,0.08752380772201265,1587,1138,1051,0
4,Exp-Decay,No-Charge,0.5006666666666667,0.12878386363581742,0.12878386363581742,0.5747096949661838,0.0973859525923874,1613,1146,1043,0
5,Exp-Decay,No-Charge,0.5286666666666666,0.09286673299969381,0.09286673299969381,0.52042661858086,0.09889982369895826,1604,1143,1052,0
6,Exp-Decay,No-Charge,0.5246666666666666,0.11723270989517472,0.11723270989517472,0.5617802458992883,0.08873458951577609,1610,1159,1055,0
7,Exp-Decay,No-Charge,0.5433333333333333,0.12305363710333814,0.12305363710333814,0.5800297578832372,0.08110562003858833,1635,1182,1073,0
8,Exp-Decay,No-Charge,0.5293333333333333,0.11424788896488958,0.11424788896488958,0.5736228712669564,0.0903128525927484,1620,1159,1050,0
9,Exp-Decay,No-Charge,0.49666666666666665,0.13044940525436283,0.13044940525436283,0.542070172865404,0.08638343031726338,1599,1154,1048,0
10,Exp-Decay,No-Charge,0.5326666666666666,0.14869987350288433,0.14869987350288433,0.5382596704832964,0.10308967943057196,1620,1149,1045,0
11,Exp-Decay,No-Charge,0.49133333333333334,0.12741527905696037,0.12741527905696037,0.4671887859513041,0.09706585133460655,1594,1153,1044,0
12,Exp-Decay,No-Charge,0.49266666666666664,0.12941331229198477,0.12941331229198477,0.4672492927615564,0.10138205062558449,1600,1154,1032,0
13,Exp-Decay,No-Charge,0.5046666666666667,0.13053830198110242,0.13053830198110242,0.5135978162726548,0.10388551808290634,1606,1151,1049,0
14,Exp-Decay,No-Charge,0.5326666666666666,0.1114426862540511,0.1114426862540511,0.5491800728672288,0.10504337904587793,1604,1161,1048,0
