"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"/Users/hshi103/github/SSC2026/netlogo/akl_traffic.nlogo"
"sensitivity-elfarol"
"06/29/2026 10:54:09:165 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","el-farol-threshold","n-sim-days","[step]","peak-vc-inner","current-sim-day"
"6","El Farol","tou","0.7","20","0","0","0"
"6","El Farol","tou","0.7","20","1","0.6397769728209091","1"
"5","El Farol","tou","0.6","20","8","0.6957027221884036","8"
"5","El Farol","tou","0.6","20","9","0.19497355777655417","9"
"6","El Farol","tou","0.7","20","2","0.4965322601281657","2"
"5","El Farol","tou","0.6","20","10","0.7074949832402918","10"
"6","El Farol","tou","0.7","20","3","0.6221344212007764","3"
"5","El Farol","tou","0.6","20","11","0.1916079592130298","11"
"6","El Farol","tou","0.7","20","4","0.5019241890523853","4"
"5","El Farol","tou","0.6","20","12","0.7304699027019913","12"
"5","El Farol","tou","0.6","20","13","0.16282254815212532","13"
"6","El Farol","tou","0.7","20","5","0.5825316450756985","5"
"5","El Farol","tou","0.6","20","14","0.6537803341075553","14"
"6","El Farol","tou","0.7","20","6","0.5932564870654312","6"
"5","El Farol","tou","0.6","20","15","0.19023195909549076","15"
"6","El Farol","tou","0.7","20","7","0.5372548213491404","7"
"5","El Farol","tou","0.6","20","16","0.6877716091033343","16"
"5","El Farol","tou","0.6","20","17","0.15527538602230972","17"
"6","El Farol","tou","0.7","20","8","0.6864356679668322","8"
"6","El Farol","tou","0.7","20","9","0.4689550356591137","9"
"5","El Farol","tou","0.6","20","18","0.574247004973481","18"
"5","El Farol","tou","0.6","20","19","0.3800551925330543","19"
"6","El Farol","tou","0.7","20","10","0.6455968459153062","10"
"6","El Farol","tou","0.7","20","11","0.47852019620750974","11"
"5","El Farol","tou","0.6","20","20","0.6357161781637043","20"
"6","El Farol","tou","0.7","20","12","0.62443235311638","12"
"6","El Farol","tou","0.7","20","13","0.5069168796182459","13"
"6","El Farol","tou","0.7","20","14","0.6975466683485647","14"
"6","El Farol","tou","0.7","20","15","0.32420793054052277","15"
"6","El Farol","tou","0.7","20","16","0.6930292503100101","16"
"6","El Farol","tou","0.7","20","17","0.2521726158280526","17"
"6","El Farol","tou","0.7","20","18","0.6904309983581054","18"
"6","El Farol","tou","0.7","20","19","0.22715807056579718","19"
"6","El Farol","tou","0.7","20","20","0.5962729039981625","20"
