link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_1727,,inner,arterial,CBD,1.415261233636042,4.144463301566242,F,75.59518885069956,50.40786592647034,76.30744747190126,52.47575326682963,v3-2026-07-30-trip-suppression-fix
l_939,,peripheral,arterial,East,8.980115458627326,10.237397233717752,F,113.33141003675074,33.73472308894424,114.8461036642214,34.51726830601215,v3-2026-07-30-trip-suppression-fix
l_2101,,peripheral,arterial,West,7.955641272902604,15.137110665464963,F,24.363999786618674,88.0491450436684,24.753350363940463,86.74480060182267,v3-2026-07-30-trip-suppression-fix
l_2106,,peripheral,arterial,East,0.6467608062951385,1.071437791012891,F,87.16541261073924,45.92367104709976,87.32271143390261,46.45025432071065,v3-2026-07-30-trip-suppression-fix
l_274,,peripheral,arterial,East,0.43917435221783047,3.0100588171649454,F,68.05855738158797,20.223184049712202,68.51290857770731,20.106699925429442,v3-2026-07-30-trip-suppression-fix
l_2546,,boundary,arterial,East,1.317426626655932,3.4695700165113688,F,63.668765861908625,54.46552494747484,64.18510637025192,55.347891346380386,v3-2026-07-30-trip-suppression-fix
l_310,,peripheral,arterial,West,1.4046039797112757,2.170132551090511,F,38.20542630021428,43.58168078036334,42.38918401944172,45.28885810050366,v3-2026-07-30-trip-suppression-fix
l_298,,peripheral,arterial,West,0.9079445145018916,9.95826546024994,F,37.769562947338876,63.69718897123378,38.74567202353611,63.57123649077299,v3-2026-07-30-trip-suppression-fix
l_2130,,peripheral,arterial,East,0.7897854416216927,0.9152551466777322,E,114.96349959780188,62.89320071657305,115.01464367696506,63.14610977823178,v3-2026-07-30-trip-suppression-fix
l_122,,boundary,arterial,West,1.1108368304122438,6.786925205785712,F,60.930097372138135,43.89453909560911,61.042565463147625,42.919518279823976,v3-2026-07-30-trip-suppression-fix
l_422,,inner,arterial,CBD,2.4979184013322233,4.658836368427094,F,83.48972467328285,62.26171774976253,83.92693597319536,62.38876064322207,v3-2026-07-30-trip-suppression-fix
l_316,,inner,arterial,CBD,0.7405578869414959,6.956853388782173,F,61.05782322301702,42.56789391289932,61.114056564192886,42.08038342879247,v3-2026-07-30-trip-suppression-fix
l_289,,peripheral,arterial,West,1.4328928514567743,1.904387337526829,F,20.192649460808386,41.74824217341271,22.447982986685012,40.2477627870245,v3-2026-07-30-trip-suppression-fix
l_2488,,inner,arterial,CBD,0.7897854416216927,1.093649178247158,F,86.13030614591256,74.69414848581485,87.4285688494408,74.16157052757397,v3-2026-07-30-trip-suppression-fix
l_1861,,peripheral,arterial,East,3.723239218119764,4.116347839401378,F,71.4152041612677,74.80883656913852,71.58622123568017,75.10207430842227,v3-2026-07-30-trip-suppression-fix
l_991,,peripheral,arterial,East,0.9701412094427078,9.265364687370855,F,77.22274817919336,29.10791067568746,77.49053491244558,29.481333655634618,v3-2026-07-30-trip-suppression-fix
l_356,,peripheral,arterial,East,8.422234699606962,5.301200014185494,F,65.19974202741982,52.5995377645506,65.84798720220324,53.560550321934564,v3-2026-07-30-trip-suppression-fix
l_747,,peripheral,arterial,East,3.116235587410408,6.758220094136269,F,122.20863463755362,44.56887467562283,122.52951825010169,41.968299058293844,v3-2026-07-30-trip-suppression-fix
l_153,,peripheral,arterial,West,0.2729630135116692,1.167795253845656,F,41.88717799682188,27.406626014369678,42.57225880891554,28.015686351077534,v3-2026-07-30-trip-suppression-fix
l_382,,inner,arterial,CBD,2.4979184013322233,5.978866684209059,F,83.92693597319536,62.38876064322207,84.8898050292072,62.722286394498205,v3-2026-07-30-trip-suppression-fix
l_1922,,inner,arterial,CBD,3.7520519033846638,3.651305897696085,F,68.14211873833149,41.221235801942,68.32163841459146,41.946773873519945,v3-2026-07-30-trip-suppression-fix
l_752,,boundary,arterial,West,0.8705114254624592,4.39767738774391,F,57.29010222009102,72.90673010474494,57.45071310501181,73.36322707340747,v3-2026-07-30-trip-suppression-fix
l_1081,,boundary,arterial,East,1.0311493018259936,5.127149576299931,F,66.26880810419661,70.4713459349989,66.40670416572556,70.87420248505744,v3-2026-07-30-trip-suppression-fix
l_412,,peripheral,arterial,West,0.4670351054720947,0.7867270562404866,D,46.53102693386683,52.99656676705129,47.13611166467332,52.7962923874362,v3-2026-07-30-trip-suppression-fix
l_2306,SH16,peripheral,motorway,MWY,0.6352941176470589,1.9765778646803696,F,32.69477780582291,9.764417161929732,39.6214504225471,15.286252137861545,v3-2026-07-30-trip-suppression-fix
l_402,,peripheral,arterial,East,0.6467608062951385,1.0494507622832303,F,81.78295799544435,34.69917053726858,82.0724922145895,35.07218592182414,v3-2026-07-30-trip-suppression-fix
l_2518,,boundary,arterial,East,0.5953266855186784,8.45288503556469,F,96.21204954230274,56.566555217327355,96.4658299357641,56.18347061928901,v3-2026-07-30-trip-suppression-fix
l_759,,peripheral,arterial,East,0.7751437245655965,5.312049579961377,F,111.75216333083571,27.169636685945253,111.88861187286386,27.49141390484622,v3-2026-07-30-trip-suppression-fix
l_2094,,peripheral,arterial,West,2.1697203471552555,15.933417492059718,F,24.753350363940463,86.74480060182267,25.198499420748078,86.11509160886894,v3-2026-07-30-trip-suppression-fix
l_1789,,peripheral,arterial,East,1.6409134418159443,6.735405396826349,F,101.1613482400527,58.474587001941416,101.60510718434668,58.95281800135987,v3-2026-07-30-trip-suppression-fix
l_1061,,boundary,arterial,East,1.317426626655932,3.4513104925728597,F,65.43534998947828,58.297777320738305,65.84702091206691,59.39827931212193,v3-2026-07-30-trip-suppression-fix
l_1278,,peripheral,arterial,West,19.254505060478895,16.37710033181237,F,60.80485960601981,45.35627036157406,60.924484608854556,45.94865095390427,v3-2026-07-30-trip-suppression-fix
l_458,,peripheral,arterial,West,0.9416934787726595,1.6263992770375748,F,47.59617876818396,32.86944332563377,47.79573943349853,33.0819948251006,v3-2026-07-30-trip-suppression-fix
l_174,,peripheral,arterial,West,3.7803213273128216,3.221767524741173,F,62.56522719797414,60.64785993785288,63.17032167099063,60.447539196208346,v3-2026-07-30-trip-suppression-fix
l_594,,peripheral,arterial,East,0.7544322897019992,1.1804557870774774,F,87.26030879637909,21.760110740260423,87.3422163589314,21.48832646376716,v3-2026-07-30-trip-suppression-fix
l_211,,peripheral,arterial,West,0.8512147543890761,7.948852285878207,F,33.84449708141225,45.25594081754156,34.33790463427737,43.70643040416842,v3-2026-07-30-trip-suppression-fix
l_610,,inner,arterial,CBD,0.8204567209079722,6.777023524036451,F,102.44312015874735,59.58587777845526,102.94906915652737,59.90078968461936,v3-2026-07-30-trip-suppression-fix
l_142,,peripheral,arterial,West,0.6245229338699604,4.3027560773807245,F,56.19549972464025,13.468757795687031,57.035679730518716,14.237078372263523,v3-2026-07-30-trip-suppression-fix
l_1285,,boundary,arterial,East,0.5155746509129968,4.704922895330746,F,63.73301721953026,63.842510507436664,63.89363691121102,64.29900298311922,v3-2026-07-30-trip-suppression-fix
l_2399,,inner,arterial,CBD,1.1867088607594938,4.656471806741372,F,53.65937578832898,70.56806433224813,55.73360997152649,69.85431913751114,v3-2026-07-30-trip-suppression-fix
l_134,,inner,arterial,CBD,1.4070194637692488,3.238395597751485,F,77.3632048413974,68.40189168926318,77.78445854772983,70.0157000072251,v3-2026-07-30-trip-suppression-fix
l_623,,peripheral,arterial,West,1.00993098804915,11.182213686836953,F,25.751276152965755,69.94339200780163,26.07238139930309,69.66727884791707,v3-2026-07-30-trip-suppression-fix
l_627,,inner,arterial,CBD,0.7365126127784938,3.7061469892255543,F,52.902451861081026,83.79782671239595,52.99486639803911,84.09342026471842,v3-2026-07-30-trip-suppression-fix
l_1177,,peripheral,arterial,West,0.6931407942238267,2.465480650493921,F,49.88699146194675,28.584282569702506,50.09635975384353,28.14801859227475,v3-2026-07-30-trip-suppression-fix
l_1563,SH1N,peripheral,motorway,MWY,1.3333333333333333,0.3080298390478405,B,26.11703655265897,98.31416060340739,27.039409729875562,100,v3-2026-07-30-trip-suppression-fix
l_744,,peripheral,arterial,West,0.34657039711191334,2.3112776438767426,F,55.0507051747397,24.48955916017937,55.48533050156489,24.481572560118224,v3-2026-07-30-trip-suppression-fix
l_1895,,peripheral,arterial,East,5.584858827179646,4.600894802058985,F,72.79557261648976,77.72925969396898,73.09627738553586,78.33242799896371,v3-2026-07-30-trip-suppression-fix
l_525,,peripheral,arterial,East,1.4402304368698993,4.017142740529612,F,91.60778624894593,68.54368656404685,92.03296894979158,68.02229805492169,v3-2026-07-30-trip-suppression-fix
l_1287,,peripheral,arterial,East,0.5155746509129968,4.698738730771103,F,63.4819686469117,63.198497471386425,63.73301721953026,63.842510507436664,v3-2026-07-30-trip-suppression-fix
l_565,,boundary,arterial,West,0.6931407942238267,6.348468497521482,F,48.886082829988325,30.899887737200082,49.13742967191647,30.381775844844405,v3-2026-07-30-trip-suppression-fix
l_57,,peripheral,arterial,West,0.2729630135116692,1.1485806207403058,F,39.89566721333704,25.49718718738144,40.13917123397722,25.735967467360865,v3-2026-07-30-trip-suppression-fix
l_1025,,inner,arterial,CBD,2.877237851662404,1.1841142017936392,F,54.601457003357595,57.956488700539424,56.177153289115644,57.332965838616346,v3-2026-07-30-trip-suppression-fix
l_2472,,inner,arterial,CBD,6.300535545521369,6.82015519582079,F,59.89578389608564,61.716984700024234,60.98902377665546,61.24441366475997,v3-2026-07-30-trip-suppression-fix
l_141,,inner,arterial,CBD,1.415261233636042,5.964043368536656,F,66.63071109769622,52.38399397535276,66.70966745550835,51.95011603128202,v3-2026-07-30-trip-suppression-fix
l_322,,peripheral,arterial,East,1.550287449131193,6.157101142836104,F,106.51764890136762,20.429405462124972,107.31610278619196,21.279390959790696,v3-2026-07-30-trip-suppression-fix
