"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-transit"
"08/04/2026 20:53:38:765 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","mean [fee-paid-today] of vehicles"
"1","Q-Learning","No-Charge","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Q-Learning","tou","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Q-Learning","tou","1.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Q-Learning","No-Charge","1.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Q-Learning","No-Charge","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Q-Learning","No-Charge","0","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","0"
"5","Q-Learning","tou","1.5","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","1.3584"
"4","Q-Learning","tou","0","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","1.3584"
"2","Q-Learning","No-Charge","1.5","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","0"
"3","Q-Learning","No-Charge","3","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","0"
"6","Q-Learning","tou","3","14","1","0.11760843928604141","1","0.48754786329302763","0.08801453220283693","0.4503311258278146","0.5017301038062284","0.45791245791245794","0.4738675958188153","0.48307692307692307","0.47750865051903113","0.47071583514099785","1.3584"
"1","Q-Learning","No-Charge","0","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","0"
"4","Q-Learning","tou","0","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","1.4376"
