day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,El Farol,tou,0.9386666666666666,0.1718919625463463,0.1718919625463463,0.38187924813591684,0.1000968003778792,1777,1276,1323,2.7096,v3-2026-07-30-trip-suppression-fix
2,El Farol,tou,0.9286666666666666,0.20995138102285957,0.20995138102285957,0.2725030831620085,0.08055976083182156,1554,1292,1400,2.6216,v3-2026-07-30-trip-suppression-fix
3,El Farol,tou,0.92,0.23453771636583892,0.23453771636583892,0.30855363537901265,0.10450245331443991,1901,1527,1438,2.624,v3-2026-07-30-trip-suppression-fix
4,El Farol,tou,0.9266666666666666,0.17963997138269205,0.17963997138269205,0.4547184048853574,0.10838469222546118,1624,1343,1421,2.6408,v3-2026-07-30-trip-suppression-fix
5,El Farol,tou,0.932,0.19345856666226957,0.19345856666226957,0.4393410108673085,0.11220088431734104,1680,1202,1367,2.6696,v3-2026-07-30-trip-suppression-fix
6,El Farol,tou,0.932,0.17366892274810017,0.17366892274810017,0.4191969913988325,0.09743998987816915,1748,1351,1369,2.6896,v3-2026-07-30-trip-suppression-fix
7,El Farol,tou,0.9233333333333333,0.1823353104890236,0.1823353104890236,0.4240431620858509,0.11680538242556736,1785,1374,1379,2.6504,v3-2026-07-30-trip-suppression-fix
8,El Farol,tou,0.928,0.19406679530474674,0.19406679530474674,0.2904310717044682,0.11975373501706396,1811,1363,1458,2.632,v3-2026-07-30-trip-suppression-fix
9,El Farol,tou,0.932,0.31275105122160385,0.31275105122160385,0.2526288996719881,0.13184411462331824,1748,1365,1540,2.6392,v3-2026-07-30-trip-suppression-fix
10,El Farol,tou,0.938,0.31377826443580936,0.31377826443580936,0.314702501171437,0.12927613224086526,1660,1211,1490,2.684,v3-2026-07-30-trip-suppression-fix
11,El Farol,tou,0.932,0.20173961261118528,0.20173961261118528,0.3023920202935386,0.11281259069778914,1772,1269,1452,2.6272,v3-2026-07-30-trip-suppression-fix
12,El Farol,tou,0.9266666666666666,0.34464045741218663,0.34464045741218663,0.3092858372825009,0.12329017103679955,1859,1295,1449,2.6096,v3-2026-07-30-trip-suppression-fix
13,El Farol,tou,0.9293333333333333,0.30403594621048313,0.30403594621048313,0.3068192576221173,0.13209495559939807,1863,1418,1391,2.6024,v3-2026-07-30-trip-suppression-fix
14,El Farol,tou,0.9226666666666666,0.1798127406878019,0.1798127406878019,0.5188494504281415,0.15680045614837107,1700,1440,1456,2.5552,v3-2026-07-30-trip-suppression-fix
