"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"/Users/hshi103/github/SSC2026/netlogo/akl_traffic.nlogo"
"sensitivity-ql-alpha"
"07/20/2026 19:36:45:744 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-alpha","n-sim-days","[step]","peak-vc-inner","current-sim-day"
"1","Q-Learning","No-Charge","0.05","20","12","0.3707359208264091","12"
"2","Q-Learning","No-Charge","0.1","20","12","0.3980569831576425","12"
"6","Q-Learning","tou","0.2","20","13","0.21936021598056996","13"
"4","Q-Learning","tou","0.05","20","13","0.31662361459039967","13"
"3","Q-Learning","No-Charge","0.2","20","13","0.3650195706409651","13"
"5","Q-Learning","tou","0.1","20","13","0.34560285759993786","13"
"1","Q-Learning","No-Charge","0.05","20","13","0.42491812977682597","13"
"2","Q-Learning","No-Charge","0.1","20","13","0.38520518985114094","13"
"6","Q-Learning","tou","0.2","20","14","0.30622071026254877","14"
"4","Q-Learning","tou","0.05","20","14","0.2911138715426325","14"
"5","Q-Learning","tou","0.1","20","14","0.3034734185692747","14"
"3","Q-Learning","No-Charge","0.2","20","14","0.4091379124436315","14"
"1","Q-Learning","No-Charge","0.05","20","14","0.40461137431489835","14"
"2","Q-Learning","No-Charge","0.1","20","14","0.3500115344619057","14"
"6","Q-Learning","tou","0.2","20","15","0.23985010745360263","15"
"4","Q-Learning","tou","0.05","20","15","0.36019631454869083","15"
"5","Q-Learning","tou","0.1","20","15","0.22100329725158074","15"
"3","Q-Learning","No-Charge","0.2","20","15","0.4065323888299991","15"
"1","Q-Learning","No-Charge","0.05","20","15","0.4281166294482005","15"
"6","Q-Learning","tou","0.2","20","16","0.292319186283707","16"
"2","Q-Learning","No-Charge","0.1","20","15","0.42921437604612056","15"
"4","Q-Learning","tou","0.05","20","16","0.21434769614955687","16"
"5","Q-Learning","tou","0.1","20","16","0.33501631806625326","16"
"3","Q-Learning","No-Charge","0.2","20","16","0.35747200065003615","16"
"1","Q-Learning","No-Charge","0.05","20","16","0.36155446006339453","16"
"6","Q-Learning","tou","0.2","20","17","0.23791760553426083","17"
"2","Q-Learning","No-Charge","0.1","20","16","0.44758631330055804","16"
"4","Q-Learning","tou","0.05","20","17","0.30577366919782156","17"
"5","Q-Learning","tou","0.1","20","17","0.23401414946906313","17"
"3","Q-Learning","No-Charge","0.2","20","17","0.35253118982451553","17"
"6","Q-Learning","tou","0.2","20","18","0.2300141229535325","18"
"1","Q-Learning","No-Charge","0.05","20","17","0.3371596700183531","17"
"4","Q-Learning","tou","0.05","20","18","0.24775978591756523","18"
"2","Q-Learning","No-Charge","0.1","20","17","0.3760412993610023","17"
"5","Q-Learning","tou","0.1","20","18","0.38533793665904964","18"
"3","Q-Learning","No-Charge","0.2","20","18","0.37907568836142896","18"
"6","Q-Learning","tou","0.2","20","19","0.21313759457136858","19"
"1","Q-Learning","No-Charge","0.05","20","18","0.4477166268295896","18"
"4","Q-Learning","tou","0.05","20","19","0.2802376776923044","19"
"5","Q-Learning","tou","0.1","20","19","0.20515643161212113","19"
"2","Q-Learning","No-Charge","0.1","20","18","0.37024382076398754","18"
"6","Q-Learning","tou","0.2","20","20","0.2741551732050743","20"
"3","Q-Learning","No-Charge","0.2","20","19","0.4415041133666696","19"
"1","Q-Learning","No-Charge","0.05","20","19","0.3840153819302849","19"
"4","Q-Learning","tou","0.05","20","20","0.27355693666354436","20"
"5","Q-Learning","tou","0.1","20","20","0.2667388710805797","20"
"2","Q-Learning","No-Charge","0.1","20","19","0.4818595561454296","19"
"3","Q-Learning","No-Charge","0.2","20","20","0.35722786086594543","20"
"1","Q-Learning","No-Charge","0.05","20","20","0.3337338969746738","20"
"2","Q-Learning","No-Charge","0.1","20","20","0.38667671408962023","20"
