"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"/Users/hshi103/github/SSC2026/netlogo/akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/20/2026 21:52:56:825 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day"
"3","Q-Learning","No-Charge","0.6","20","14","0.452717388472743","14"
"5","Q-Learning","tou","0.4","20","15","0.22100329725158074","15"
"4","Q-Learning","tou","0.2","20","16","0.20376756285902226","16"
"2","Q-Learning","No-Charge","0.4","20","14","0.3500115344619057","14"
"1","Q-Learning","No-Charge","0.2","20","14","0.37848186147989055","14"
"6","Q-Learning","tou","0.6","20","15","0.3500274121179552","15"
"3","Q-Learning","No-Charge","0.6","20","15","0.3768455582683319","15"
"4","Q-Learning","tou","0.2","20","17","0.2145919203441642","17"
"5","Q-Learning","tou","0.4","20","16","0.33501631806625326","16"
"2","Q-Learning","No-Charge","0.4","20","15","0.42921437604612056","15"
"1","Q-Learning","No-Charge","0.2","20","15","0.3343393019423825","15"
"6","Q-Learning","tou","0.6","20","16","0.2984934558991969","16"
"4","Q-Learning","tou","0.2","20","18","0.15941169619713141","18"
"3","Q-Learning","No-Charge","0.6","20","16","0.399296733316739","16"
"5","Q-Learning","tou","0.4","20","17","0.23401414946906313","17"
"4","Q-Learning","tou","0.2","20","19","0.19231994199873623","19"
"2","Q-Learning","No-Charge","0.4","20","16","0.44758631330055804","16"
"1","Q-Learning","No-Charge","0.2","20","16","0.3694786163498473","16"
"6","Q-Learning","tou","0.6","20","17","0.38742370490644934","17"
"5","Q-Learning","tou","0.4","20","18","0.38533793665904964","18"
"3","Q-Learning","No-Charge","0.6","20","17","0.4077559522043342","17"
"4","Q-Learning","tou","0.2","20","20","0.15914937360419423","20"
"2","Q-Learning","No-Charge","0.4","20","17","0.3760412993610023","17"
"1","Q-Learning","No-Charge","0.2","20","17","0.3681329679776325","17"
"5","Q-Learning","tou","0.4","20","19","0.20515643161212113","19"
"6","Q-Learning","tou","0.6","20","18","0.24659502668025204","18"
"3","Q-Learning","No-Charge","0.6","20","18","0.42876999407528454","18"
"2","Q-Learning","No-Charge","0.4","20","18","0.37024382076398754","18"
"5","Q-Learning","tou","0.4","20","20","0.2667388710805797","20"
"1","Q-Learning","No-Charge","0.2","20","18","0.3139472113812781","18"
"6","Q-Learning","tou","0.6","20","19","0.29633169983780405","19"
"3","Q-Learning","No-Charge","0.6","20","19","0.3657898079072864","19"
"2","Q-Learning","No-Charge","0.4","20","19","0.4818595561454296","19"
"1","Q-Learning","No-Charge","0.2","20","19","0.2915106789244174","19"
"6","Q-Learning","tou","0.6","20","20","0.42075361480527657","20"
"3","Q-Learning","No-Charge","0.6","20","20","0.3780460121888206","20"
"2","Q-Learning","No-Charge","0.4","20","20","0.38667671408962023","20"
"1","Q-Learning","No-Charge","0.2","20","20","0.38626273843154846","20"
