"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"rerouting"
"07/28/2026 06:02:25:027 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","table:length path-cache","peak-ef-cbd","peak-ef-mwy","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"1","Exp-Decay","No-Charge","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"6","Q-Learning","tou","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"2","Exp-Decay","tou","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"5","Q-Learning","No-Charge","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"3","El Farol","No-Charge","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"4","El Farol","tou","true","false","14","0","0","0","0","0","0","7265","0","0","0","0"
"2","Exp-Decay","tou","true","false","14","1","1","0.09438588176879488","0.15713295896944465","0.05625540108792555","551","4683","86.2949192571972","91.19629172525225","77.62030729874216","52.34091775329325"
"5","Q-Learning","No-Charge","true","false","14","1","1","0.11153023669975863","0.22473019189470247","0.06435708271600876","729","5164","91.95523021465759","91.85846845351205","82.35976971348916","70.71811152388217"
"6","Q-Learning","tou","true","false","14","1","1","0.11153023669975863","0.22473019189470247","0.06435708271600876","729","5164","91.95523021465759","91.85846845351205","82.35976971348916","70.71811152388217"
"1","Exp-Decay","No-Charge","true","false","14","1","1","0.13773633458731988","0.19821899301594706","0.06326999751404652","767","5244","92.31007768440962","91.61163181629593","86.74617068239888","72.57779937430277"
"4","El Farol","tou","true","false","14","1","1","0.1438603249784037","0.2737762662379592","0.06722462497197457","867","5507","93.46107664880556","91.84236199761723","86.78077343785364","83.82579773886856"
"3","El Farol","No-Charge","true","false","14","1","1","0.16932252943417467","0.3394781917063007","0.09142879228245311","1117","6142","98.71619249304081","92.6648711620676","91.84667878103527","84.5057010050295"
"2","Exp-Decay","tou","true","false","14","2","2","0.11013350977301313","0.16759291034975599","0.06123899624746373","610","4850","89.26817021155377","67.35642988865575","77.30550380937679","16.657345609790383"
"1","Exp-Decay","No-Charge","true","false","14","2","2","0.11882785468078591","0.2192054677545458","0.07021290445140461","759","5265","92.89444162656758","85.06435997454771","85.53418330314307","59.25841723549377"
"5","Q-Learning","No-Charge","true","false","14","2","2","0.1298217991757606","0.21183016579118366","0.06449501471770908","784","5275","95.21497168763356","82.25688456160543","85.05167169020046","53.963874169135124"
"6","Q-Learning","tou","true","false","14","2","2","0.1298217991757606","0.21183016579118366","0.06449501471770908","784","5275","95.21497168763356","82.25688456160543","85.05167169020046","53.963874169135124"
"4","El Farol","tou","true","false","14","2","2","0.1649456380587551","0.651768051070927","0.11164435879622456","1382","6844","98.15593009261198","90.26736218439292","91.15991596783104","67.42710408204363"
"3","El Farol","No-Charge","true","false","14","2","2","0.15200652913781335","0.36498740202746593","0.09161233022711648","1372","6816","97.48396556981831","87.26874901819137","93.60005725268081","74.63249950423655"
"2","Exp-Decay","tou","true","false","14","3","3","0.08695836901484835","0.18226039050614512","0.05109690162528939","596","4802","90.56062180612922","87.4191777191515","78.01183955700768","33.103348193694664"
"1","Exp-Decay","No-Charge","true","false","14","3","3","0.15450335193268747","0.2351300606095145","0.06598787494185683","779","5322","94.12215024897156","80.87355671120712","87.0441002755497","61.51702337388438"
"6","Q-Learning","tou","true","false","14","3","3","0.09439036021548354","0.18593848875389773","0.05267739329176443","643","4890","94.69053469101077","82.82945222236481","80.65029491827217","54.001793224766956"
"5","Q-Learning","No-Charge","true","false","14","3","3","0.10237420638952928","0.24896517866007017","0.06388039497913847","731","5128","95.97265448576346","83.56165178911124","80.14158380365093","53.73195612610656"
"4","El Farol","tou","true","false","14","3","3","0.23391432964800285","0.46554369786365946","0.11846935612670764","1393","6896","98.78029938711073","90.84150559064811","93.3858509842317","72.4761911517459"
"3","El Farol","No-Charge","true","false","14","3","3","0.3135748057518303","0.22794524912308703","0.09105825855446269","1375","6835","99.03885498244381","87.25833650783999","91.96783226784363","70.99637955148242"
"2","Exp-Decay","tou","true","false","14","4","4","0.11685873092006127","0.1518747848067527","0.05006676458653685","581","4749","89.09005281438752","75.56390508474753","78.38247048294537","36.66999388840377"
"6","Q-Learning","tou","true","false","14","4","4","0.09566219085125874","0.1907577811893698","0.04844146811076251","594","4829","89.24981067911803","84.84721766371403","79.70051791696298","51.32260498861067"
"1","Exp-Decay","No-Charge","true","false","14","4","4","0.13283721408387042","0.24454532126424625","0.06806486803661956","778","5332","90.449650004117","84.22767554695837","85.65627969553233","53.88966932172594"
"5","Q-Learning","No-Charge","true","false","14","4","4","0.13443335999896977","0.28764805962446444","0.06113620206046294","768","5243","97.16886139587729","86.92185957066435","83.36429284878993","52.3609171893091"
"2","Exp-Decay","tou","true","false","14","5","5","0.08249611818345798","0.20098932170603231","0.058960806332069814","605","4800","89.68253105793573","80.22798382718342","78.4531411853897","32.10986300208777"
