"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-pay"
"07/25/2026 07:57:11:553 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","base-beta","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"4","Exp-Decay","tou","0.25","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","No-Charge","0.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Exp-Decay","tou","0.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Exp-Decay","No-Charge","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Exp-Decay","tou","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Exp-Decay","No-Charge","0.25","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Exp-Decay","tou","1","14","1","0.0934367930411219","1","0.2724013621704469","0.054428603017755636","91.09729366659008","80.29269446275173","82.29646087333674","81.91798144690112","57.65877426719261","70.90366596116542","71.9284660871459","70.37696392557524"
"5","Exp-Decay","tou","0.5","14","1","0.1035304746179941","1","0.2633313624361308","0.06135310784806116","89.18395061575565","81.73495872970513","85.5419509737292","82.82793585366683","62.09987909401574","74.36651681654796","73.90603723580935","77.58542677920171"
"4","Exp-Decay","tou","0.25","14","1","0.12167990055620052","1","0.29055423495014515","0.061426861500104485","90.82995122565745","84.47150044753134","86.41604493314566","83.5090258554593","69.90962514131317","75.68242438244833","78.01246028241368","76.34347410505012"
"2","Exp-Decay","No-Charge","0.5","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827","77.27241472629197","83.16750108679285","83.50707349409443","78.76937397841442"
"3","Exp-Decay","No-Charge","1","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827","77.27241472629197","83.16750108679285","83.50707349409443","78.76937397841442"
"1","Exp-Decay","No-Charge","0.25","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827","77.27241472629197","83.16750108679285","83.50707349409443","78.76937397841442"
"6","Exp-Decay","tou","1","14","2","0.09460975847008204","2","0.20993051770956367","0.055566057653185376","91.0661694634793","78.45496988127684","86.03662832174727","82.0329744927564","60.04136321211341","68.30495138176613","72.84866307138584","73.89951753383903"
"4","Exp-Decay","tou","0.25","14","2","0.08748216419826921","2","0.31006272279377917","0.06441769956541984","91.28652917897946","80.88074962495935","86.6994230892264","82.50261062077821","64.02406544111312","76.57858708715789","81.16453133708346","76.69822484864852"
"5","Exp-Decay","tou","0.5","14","2","0.09022433795337242","2","0.25400264032766695","0.06634588159373983","90.30242426429469","84.31537683562969","87.83120018510846","84.56959041928174","67.22133090226218","73.86908216484287","79.20648120932972","77.14038449047672"
"1","Exp-Decay","No-Charge","0.25","14","2","0.11488469000627051","2","0.3667612180449964","0.07517473002801155","92.21822092387404","87.26916542577769","89.07401961408698","82.25190660765915","74.26604433986066","83.36275156106855","84.3462685533948","81.56316751528205"
"2","Exp-Decay","No-Charge","0.5","14","2","0.11488469000627051","2","0.3667612180449964","0.07517473002801155","92.21822092387404","87.26916542577769","89.07401961408698","82.25190660765915","74.26604433986066","83.36275156106855","84.3462685533948","81.56316751528205"
