"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"retiming-rerouting"
"07/28/2026 09:58:48:049 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","sched-delay-cost","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","count vehicles with [hour-shift != 0]","table:length path-cache","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"2","Exp-Decay","tou","true","true","0.6","14","7","7","0.18908127679845066","0.1404201170210192","0.0532656594346613","563","12","4729","77.49310364337467","29.802633416279154"
"5","Q-Learning","No-Charge","true","true","0.6","14","6","6","0.19485483359867686","0.13076104101564412","0.07724851110329739","1031","580","5942","91.51374510619283","69.85516468781248"
"6","Q-Learning","tou","true","true","0.6","14","6","6","0.19109879468626195","0.2737541785891316","0.06742888215228877","968","627","5807","91.7928492696535","70.21615732436469"
"1","Exp-Decay","No-Charge","true","true","0.6","14","7","7","0.15458112790063264","0.19469543579513188","0.06973408467267898","793","0","5300","87.44576334325153","53.40235417910808"
"4","El Farol","tou","true","true","0.6","14","6","6","0.18195944667552186","0.38735690553319896","0.08894565424711888","1381","246","6862","96.07351945789145","76.88169443322843"
"2","Exp-Decay","tou","true","true","0.6","14","8","8","0.10546801767593586","0.15955444897759793","0.06431105869331","586","17","4771","75.6611480284866","28.841077834474767"
"3","El Farol","No-Charge","true","true","0.6","14","6","6","0.18195944667552186","0.38735690553319896","0.08894565424711888","1381","246","6862","96.07351945789145","76.88169443322843"
"1","Exp-Decay","No-Charge","true","true","0.6","14","8","8","0.15368156355644103","0.2669076975057371","0.06698492465448272","805","0","5355","87.09953965671959","54.90280864046345"
"6","Q-Learning","tou","true","true","0.6","14","7","7","0.18295665505244482","0.11385113213402726","0.08198882964790671","914","619","5635","90.82194581489419","66.57374182911869"
"5","Q-Learning","No-Charge","true","true","0.6","14","7","7","0.18327809497708653","0.1657571986528088","0.07507866458830396","1041","544","5951","92.12107617825228","65.62196637856742"
"2","Exp-Decay","tou","true","true","0.6","14","9","9","0.08327104271741968","0.22557237702910005","0.05856577165293383","594","8","4807","75.13028547068306","28.876478965709904"
"4","El Farol","tou","true","true","0.6","14","7","7","0.19064974892660919","0.3691793864708204","0.10608379686920323","1404","229","6926","96.01527302503713","75.57872812705739"
"3","El Farol","No-Charge","true","true","0.6","14","7","7","0.19064974892660919","0.3691793864708204","0.10608379686920323","1404","229","6926","96.01527302503713","75.57872812705739"
"1","Exp-Decay","No-Charge","true","true","0.6","14","9","9","0.1762186417216151","0.23681601274622846","0.08626288828538507","779","0","5266","86.16134643164584","58.89032549614062"
"5","Q-Learning","No-Charge","true","true","0.6","14","8","8","0.1764450771039542","0.20297091272851775","0.07337664201571924","1013","535","5900","91.05162951797321","66.46154140544942"
"6","Q-Learning","tou","true","true","0.6","14","8","8","0.09774295483009417","0.20719926966124227","0.055840996305296375","878","570","5509","90.18388680031381","62.60558489982367"
"2","Exp-Decay","tou","true","true","0.6","14","10","10","0.14261008782865986","0.14458070953749097","0.061976999159789915","623","19","4862","75.66008723954965","28.63904782804778"
"4","El Farol","tou","true","true","0.6","14","8","8","0.24542377463109105","0.3875022624797124","0.12516743705401373","1386","208","6875","97.08514615931658","69.4101900320496"
"1","Exp-Decay","No-Charge","true","true","0.6","14","10","10","0.1819166260000255","0.27553440925863076","0.06869720763201802","809","0","5323","86.49449851760825","63.851788322892574"
"3","El Farol","No-Charge","true","true","0.6","14","8","8","0.24542377463109105","0.3875022624797124","0.12516743705401373","1386","208","6875","97.08514615931658","69.4101900320496"
"6","Q-Learning","tou","true","true","0.6","14","9","9","0.11793277741426442","0.24518041674312882","0.05497398759169992","829","538","5411","89.8184128335444","66.8919624509724"
"5","Q-Learning","No-Charge","true","true","0.6","14","9","9","0.16516768045457605","0.22202586049097955","0.07808371091345162","1014","481","5904","90.74887617390941","65.66114198402492"
"2","Exp-Decay","tou","true","true","0.6","14","11","11","0.12441323232092752","0.12982612474519983","0.05818429549991138","614","16","4811","77.49848271813167","28.103091214312837"
"1","Exp-Decay","No-Charge","true","true","0.6","14","11","11","0.1265449460548067","0.19530033263635885","0.0649501842733678","775","0","5298","86.32340042709095","64.00623661144806"
"6","Q-Learning","tou","true","true","0.6","14","10","10","0.12812587404831186","0.18363097338689274","0.06632027834934763","831","570","5430","89.48360589089374","65.28811777494825"
"2","Exp-Decay","tou","true","true","0.6","14","12","12","0.14231163250219775","0.16624699784655306","0.07724828748407439","611","8","4802","77.52536948476634","28.099013621828327"
"4","El Farol","tou","true","true","0.6","14","9","9","0.23997925616154","0.3347902593762192","0.09837610764531109","1389","238","6892","97.5813365870538","72.06693455772884"
"5","Q-Learning","No-Charge","true","true","0.6","14","10","10","0.18622755618516704","0.28376757459866053","0.0961013141736239","1000","452","5884","91.4065223316297","65.46205391392137"
"3","El Farol","No-Charge","true","true","0.6","14","9","9","0.23997925616154","0.3347902593762192","0.09837610764531109","1389","238","6892","97.5813365870538","72.06693455772884"
"1","Exp-Decay","No-Charge","true","true","0.6","14","12","12","0.1769149127824921","0.2444303745297152","0.07168584108983364","801","0","5331","88.62375441634552","64.08128214050356"
"2","Exp-Decay","tou","true","true","0.6","14","13","13","0.1750695976908749","0.1343607768111826","0.08082313210237377","594","20","4784","78.60067436848774","31.809854245313478"
"6","Q-Learning","tou","true","true","0.6","14","11","11","0.150549099274459","0.24886263637156197","0.06498998228376006","807","561","5318","88.57756402935696","63.5412510288975"
"5","Q-Learning","No-Charge","true","true","0.6","14","11","11","0.14509151418027183","0.21723317630849326","0.08558041065063908","989","431","5895","91.54495712359973","61.23905009141286"
"4","El Farol","tou","true","true","0.6","14","10","10","0.3867732294329468","0.7259525764616516","0.1143049806279035","1392","218","6953","97.10206826331112","73.41569436623091"
"3","El Farol","No-Charge","true","true","0.6","14","10","10","0.3867732294329468","0.7259525764616516","0.1143049806279035","1392","218","6953","97.10206826331112","73.41569436623091"
"1","Exp-Decay","No-Charge","true","true","0.6","14","13","13","0.2072979541557174","0.28563693470186424","0.06257528962376198","813","0","5404","88.18408881773574","64.0548054552718"
"2","Exp-Decay","tou","true","true","0.6","14","14","14","0.1723149191259794","0.16361693798376561","0.0825757900580877","619","19","4909","79.43077008915016","32.609119464350215"
"6","Q-Learning","tou","true","true","0.6","14","12","12","0.11016794098882221","0.23996561796904345","0.062325378536453487","779","501","5296","87.6040491872075","61.595128303213265"
"5","Q-Learning","No-Charge","true","true","0.6","14","12","12","0.14762824814135","0.1865358798390116","0.07653103627312789","968","412","5801","92.09857345591925","61.344083666533834"
"4","El Farol","tou","true","true","0.6","14","11","11","0.22502997234215036","0.316266034257668","0.08777337043048793","1380","278","6894","95.72583974407148","74.08042110169865"
