link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_1288,,peripheral,arterial,West,0.48000000000000004,3.1900318514137735,F,52.384790658116664,21.37643744779161,52.68419619251515,22.289837472597156,v3-2026-07-30-trip-suppression-fix
l_1410,,peripheral,arterial,West,0.3936491274111009,2.50046417901019,F,52.314129578362284,21.08044440557598,52.384790658116664,21.37643744779161,v3-2026-07-30-trip-suppression-fix
l_147,,peripheral,arterial,East,0.9321112319403448,5.638161185669369,F,64.39010580932049,18.15569880527333,64.61339702017465,18.47590338906229,v3-2026-07-30-trip-suppression-fix
l_964,,boundary,arterial,East,0.9321112319403448,2.66028628864842,F,71.35164153001558,36.081063964939304,71.55422769052936,36.45569729161111,v3-2026-07-30-trip-suppression-fix
l_1544,SH16,peripheral,motorway,MWY,0.2823529411764706,2.4222206933919206,F,49.68867320585987,26.07446749641536,50.39600241867397,26.710121222629585,v3-2026-07-30-trip-suppression-fix
l_1428,,peripheral,arterial,West,1.7024295087781522,7.4342409226608535,F,29.48889096285736,66.2537412667525,29.673640407118377,66.84494709908721,v3-2026-07-30-trip-suppression-fix
l_515,,boundary,arterial,West,1.438618925831202,8.593328538169004,F,62.070878876013246,55.062488842189836,62.61075366145854,54.863368946849434,v3-2026-07-30-trip-suppression-fix
l_684,,inner,arterial,CBD,2.1228918504540633,5.250108303789956,F,68.53899968943219,55.646056144061916,69.11457928555151,56.203002006373694,v3-2026-07-30-trip-suppression-fix
l_1415,,peripheral,arterial,West,0.3936491274111009,2.6152513320223543,F,52.43634905089815,22.997075504779254,52.68419619251515,22.289837472597156,v3-2026-07-30-trip-suppression-fix
l_168,,boundary,arterial,East,2.520214218208548,9.712724283545626,F,63.17032167099063,60.447539196208346,64.27183221174457,60.04889308379106,v3-2026-07-30-trip-suppression-fix
l_605,,peripheral,arterial,West,0.4163486225799736,4.970918169919829,F,57.035679730518716,14.237078372263523,57.47824904838939,14.661363814040484,v3-2026-07-30-trip-suppression-fix
