link_id,class,group,position,adt_obs,veh_day_model,implied_k,vcf_am
l_655,arterial,West,peripheral,12815,19168,0.15025041736227046,1.0921911638208928
l_542,arterial,East,boundary,8869,5536,0.26011560693641617,0.4952254264556277
l_148,arterial,West,peripheral,12562,11744,0.14986376021798364,0.6564993476637714
l_145,arterial,East,boundary,16700,2816,0.2840909090909091,0.09909263212247739
l_2157,motorway,MWY,peripheral,85000,68544,0.1377217553688142,0.6038162830448194
l_667,arterial,West,boundary,25486,80928,0.14630288651640966,2.2594629585675734
l_1353,arterial,West,peripheral,28822,10112,0.2848101265822785,0.2930533681678762
l_1765,motorway,MWY,peripheral,95000,86208,0.14662212323682258,0.7202246721707156
l_447,arterial,West,peripheral,19825,43360,0.13284132841328414,1.4228054411773619
l_2147,motorway,MWY,peripheral,85000,106112,0.13570566948130278,0.9880730109192863
l_1926,arterial,West,boundary,23275,13824,0.24305555555555555,0.3511698508616715
l_1428,arterial,West,peripheral,28195,47904,0.13360053440213762,1.2611611582353575
l_449,arterial,East,boundary,14414,20096,0.15127388535031847,1.000562396809367
l_221,arterial,CBD,inner,8869,6304,0.22842639593908629,0.5016537676427724
l_629,arterial,West,peripheral,8296,17056,0.15947467166979362,1.4557493286850296
l_253,arterial,CBD,inner,25748,21440,0.14925373134328357,0.5524689558410046
l_283,arterial,West,peripheral,25694,8192,0.1953125,0.20842277547134344
l_1422,arterial,CBD,inner,12793,23456,0.1432469304229195,1.3502613327525137
l_768,arterial,West,peripheral,17823,53568,0.13739545997610514,2.2242166079177537
l_816,arterial,East,peripheral,15906,15200,0.16842105263157894,0.7065428402240262
l_39,arterial,East,peripheral,15481,25504,0.16311166875784192,1.3130933198740253
l_226,arterial,East,peripheral,27324,32352,0.14836795252225518,0.7957259847082798
l_37,arterial,East,peripheral,15481,25056,0.16602809706257982,1.2952916861395862
l_824,arterial,West,peripheral,7783,14368,0.1447661469933185,1.5625237324553343
l_899,arterial,CBD,inner,15177,34848,0.13314967860422405,1.5979643537332178
l_616,arterial,East,peripheral,9627,13280,0.1927710843373494,0.7848383234286925
l_817,arterial,East,peripheral,27324,20960,0.16793893129770993,0.4527696973181959
l_1837,arterial,West,peripheral,34625,24384,0.15748031496062992,0.475027011972676
l_2361,arterial,CBD,inner,12793,31168,0.16940451745379878,1.7428325519463828
l_2287,motorway,MWY,boundary,95000,2240,0.2857142857142857,0.022297918269983598
l_974,arterial,East,peripheral,27324,31712,0.15640766902119072,0.7774554422597358
l_2621,motorway,MWY,peripheral,85000,131392,0.11081344374086702,1.0530972713897255
l_2060,motorway,MWY,peripheral,95000,159936,0.1400560224089636,1.3254168766365724
l_646,arterial,CBD,inner,8869,5664,0.2824858757062147,0.4877402050212199
l_755,arterial,East,peripheral,15177,38464,0.13311148086522462,1.826567084517406
l_2313,arterial,CBD,inner,6446,10624,0.21084337349397592,1.2017604872238006
l_712,arterial,CBD,inner,25486,12608,0.15228426395939088,0.298527870393218
l_2093,arterial,West,peripheral,7783,13600,0.17647058823529413,1.430902295537324
l_107,arterial,East,boundary,15177,31520,0.13705583756345177,1.509510561222796
l_1297,arterial,East,boundary,23275,9664,0.2152317880794702,0.2987218333049921
l_140,arterial,East,boundary,21939,78816,0.14413317092976047,2.372261294983319
l_380,arterial,East,peripheral,15906,13792,0.1740139211136891,0.6412285590718174
l_675,arterial,East,boundary,25486,24192,0.15873015873015872,0.6616042746503167
l_8,arterial,CBD,inner,8479,16544,0.18375241779497098,1.6251141834820897
l_273,arterial,CBD,inner,25486,24768,0.15503875968992248,0.6605225013117201
l_416,arterial,West,peripheral,16700,54688,0.12287887653598596,2.0276937332032885
l_70,arterial,East,peripheral,9627,11360,0.19718309859154928,0.6629386088330086
l_2672,arterial,West,peripheral,23275,10176,0.22012578616352202,0.2886931471627724
l_2145,arterial,East,peripheral,38827,18432,0.14756944444444445,0.3134008698972519
l_853,arterial,East,boundary,9523,19360,0.2066115702479339,1.632473501525601
l_120,arterial,West,peripheral,28822,9472,0.2533783783783784,0.261944109230754
l_711,arterial,CBD,inner,13785,20736,0.1697530864197531,1.0217679747709374
l_2416,motorway,MWY,peripheral,90000,194528,0.12502056259253166,1.536250156954402
l_390,arterial,East,peripheral,18554,10208,0.1724137931034483,0.3707355522358014
l_1400,arterial,East,boundary,18554,512,0.625,0.027266988849655713
l_1542,arterial,East,peripheral,18554,30720,0.19791666666666666,1.205134365972543
l_2082,motorway,MWY,boundary,90000,197824,0.126981559365901,1.5646300115891456
l_245,arterial,East,peripheral,10821,41088,0.14797507788161993,2.971218738410662
l_2354,arterial,West,peripheral,8296,9952,0.1607717041800643,0.8684729102445583
l_1319,arterial,East,boundary,12615,36416,0.14938488576449913,2.2743930775281633
l_869,arterial,West,boundary,16700,1728,0.2777777777777778,0.05703788861828082
l_276,arterial,West,peripheral,15177,8224,0.17509727626459143,0.3905834630304255
l_633,arterial,West,peripheral,7783,14048,0.1366742596810934,1.510751932435216
l_12,arterial,CBD,inner,30388,13824,0.18518518518518517,0.3467551335665376
l_565,arterial,West,boundary,34625,98304,0.13834635416666666,2.060611001106792
l_2370,motorway,MWY,boundary,90000,216320,0.1220414201183432,1.6906330155375224
l_1603,motorway,MWY,peripheral,90000,736,0.6521739130434783,0.007200391261937819
l_2549,motorway,MWY,peripheral,95000,159616,0.1413392141138733,1.3234170350080616
l_599,arterial,West,peripheral,28195,74336,0.1334481274214378,1.9958225303208217
l_517,arterial,CBD,inner,12793,13888,0.1728110599078341,0.9737040947860803
l_1,arterial,West,peripheral,28195,50848,0.14159848961611077,1.2816077698940354
l_871,arterial,West,peripheral,19825,44192,0.13034033309196236,1.4448616566437749
l_2384,arterial,West,boundary,20224,60640,0.16094986807387862,2.164622306855589
l_208,arterial,CBD,inner,25486,12288,0.15625,0.29303938678653063
l_134,arterial,CBD,inner,12793,16448,0.19455252918287938,1.0716866082465164
l_700,arterial,East,peripheral,25748,56576,0.1498868778280543,1.557277644216514
l_63,arterial,East,peripheral,9627,21504,0.14136904761904762,1.2743625249709076
l_438,arterial,East,peripheral,15906,49152,0.14322916666666666,2.3357994690829003
l_2177,arterial,East,boundary,25748,5696,0.2808988764044944,0.2055288953698158
l_2689,arterial,East,peripheral,27324,0,0,0
l_766,arterial,West,peripheral,16700,17600,0.11818181818181818,0.6720127982707442
l_93,arterial,West,peripheral,43962,29408,0.1305767138193689,0.45732529882226824
l_427,arterial,East,peripheral,9369,6336,0.17676767676767677,0.4647489393749926
l_1272,arterial,West,peripheral,27326,198816,0.10461934653146628,4.602483511794502
l_19,arterial,West,peripheral,19825,46336,0.13121546961325967,1.4748413494092003
l_579,arterial,East,peripheral,28822,51776,0.14524103831891225,1.2606496460095666
l_1910,arterial,East,peripheral,9627,18400,0.21739130434782608,1.6751133639233076
l_1877,arterial,West,boundary,23275,13696,0.24532710280373832,0.35166038688412943
l_264,arterial,East,boundary,25748,3776,0.2966101694915254,0.13983400625195153
l_2155,motorway,MWY,inner,90000,1376,0.46511627906976744,0.013801138668230207
l_1002,arterial,East,boundary,30388,17152,0.1958955223880597,0.42103074178109207
l_557,arterial,West,peripheral,43962,27552,0.13937282229965156,0.4312574522118135
l_464,arterial,West,peripheral,16734,15712,0.15274949083503056,0.7163750514413528
l_1388,arterial,East,boundary,12615,36352,0.14524647887323944,2.2745227544962847
l_1549,motorway,MWY,peripheral,90000,162080,0.1372161895360316,1.4083508368546724
l_2679,arterial,West,peripheral,90000,4224,0.1893939393939394,0.03302950165935279
l_2503,arterial,West,peripheral,28822,23456,0.15006821282401092,0.5925106244887366
l_704,arterial,West,peripheral,28195,73888,0.13209181463837158,1.9975133689856488
l_849,arterial,East,peripheral,10821,50240,0.1464968152866242,3.556298271535367
l_92,arterial,West,peripheral,28822,6400,0.275,0.1805062174194757
l_367,arterial,CBD,inner,30388,11136,0.21551724137931033,0.24350762575724158
l_911,arterial,West,peripheral,28195,48096,0.13972055888223553,1.2367525139815116
l_502,arterial,CBD,inner,16700,19904,0.13665594855305466,0.7640144604050068
l_2078,arterial,West,peripheral,28822,10816,0.26627218934911245,0.3057600705735904
l_676,arterial,CBD,inner,25748,12224,0.2486910994764398,0.3770565314308613
l_133,arterial,East,peripheral,21939,37152,0.1507321274763135,1.1431132829051425
l_2140,arterial,West,peripheral,28822,7968,0.1606425702811245,0.23619013808693384
l_914,arterial,West,peripheral,30484,144192,0.1353750554815801,3.6091339126592845
l_2593,motorway,MWY,peripheral,85000,960,0.3333333333333333,0.005466023261392234
l_1440,arterial,East,peripheral,25748,48128,0.1595744680851064,1.313184318520324
l_1890,arterial,CBD,inner,27326,27392,0.15186915887850466,0.6274283717688458
l_2557,arterial,West,peripheral,3000,384,0.8333333333333334,0.1759411474704576
l_925,arterial,East,peripheral,15906,14560,0.16483516483516483,0.6752033270702363
l_2398,motorway,MWY,peripheral,90000,121632,0.14469876348329386,1.079023625274603
l_1451,arterial,CBD,inner,12259,7616,0.23109243697478993,0.441272219713154
l_2038,arterial,West,peripheral,8296,18624,0.15463917525773196,1.4917122679148764
l_169,arterial,East,boundary,24996,40480,0.1541501976284585,1.199728031425186
l_2228,arterial,CBD,inner,27326,11424,0.18207282913165265,0.28093502225183636
l_1808,arterial,East,peripheral,9523,9952,0.1607717041800643,0.6938710661478754
l_2220,arterial,West,peripheral,19825,49824,0.13166345536287732,1.582519692867203
l_282,arterial,West,peripheral,18012,12896,0.17369727047146402,0.5465665696859981
l_1860,arterial,East,boundary,6446,13728,0.19813519813519814,1.6718006731316402
l_465,arterial,West,peripheral,16734,15712,0.15274949083503056,0.7162452851487761
l_1641,arterial,East,peripheral,4863,21376,0.16467065868263472,3.4823917213425526
l_109,arterial,West,peripheral,28195,74912,0.13242204186245193,2.0156351531257255
