link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_2043,,inner,arterial,CBD,1.9181585677749362,1.7917637444331256,F,54.10453983321792,58.12777182907482,54.601457003357595,57.956488700539424,v3-2026-07-30-trip-suppression-fix
l_2102,,peripheral,motorway,MWY,0.2,1.7410888614494662,F,80.17215321679737,14.648206455008307,80.29652541903556,14.32158640620621,v3-2026-07-30-trip-suppression-fix
l_808,,peripheral,arterial,East,0.6467608062951385,8.08993903705752,F,72.51738312095013,20.357134741317427,72.63653273477681,20.922492786809368,v3-2026-07-30-trip-suppression-fix
l_42,,peripheral,arterial,East,0.9701412094427078,8.056480181012468,F,72.7072231246955,21.218479863717985,72.96375709370993,22.159673228405143,v3-2026-07-30-trip-suppression-fix
l_570,,peripheral,arterial,West,0.4163486225799736,2.5010477604826256,F,55.37854866737368,12.781086522748506,55.709475407824385,13.045268594518097,v3-2026-07-30-trip-suppression-fix
l_189,,peripheral,arterial,West,0.4094445202675038,4.841712082530632,F,30.987688520843637,18.63319555844396,31.49095255807371,18.81318911534808,v3-2026-07-30-trip-suppression-fix
l_1807,,peripheral,arterial,East,3.1502677727606847,14.242919980455717,F,84.69935380385046,43.07749278340039,84.74751293230132,42.15769708901985,v3-2026-07-30-trip-suppression-fix
l_2685,SH1N,peripheral,motorway,MWY,0.26666666666666666,1.9948675864880219,F,54.52904381431009,51.00214845155103,54.70977198784677,50.84656411511451,v3-2026-07-30-trip-suppression-fix
l_627,,inner,arterial,CBD,0.7365126127784938,3.742830777876462,F,52.902451861081026,83.79782671239595,52.99486639803911,84.09342026471842,v3-2026-07-30-trip-suppression-fix
l_1520,,peripheral,arterial,West,1.03971119133574,3.828548730208329,F,47.59617876818396,32.86944332563377,48.31868560840039,31.964323441884268,v3-2026-07-30-trip-suppression-fix
l_459,,peripheral,arterial,East,1.9402824188854155,3.6568094888103038,F,87.02028595681482,49.81818938328988,87.15738012577293,49.00485215917143,v3-2026-07-30-trip-suppression-fix
l_1196,,boundary,arterial,East,16.754576481538937,14.753304103557488,F,71.9765944393281,75.77143528366535,72.79557261648976,77.72925969396898,v3-2026-07-30-trip-suppression-fix
l_194,,boundary,arterial,East,0.718562874251497,7.642104651954416,F,66.14286173603182,64.82514320490282,66.79143678056333,64.62401159445204,v3-2026-07-30-trip-suppression-fix
