day,rule,regime,hour,fA,fB,fC,fD,fE,fF
1,Q-Learning,tou,5,116123.8525160263,14424.845976803272,2743.1484475552256,1139.0904190266276,719.8412631160859,350.9069276457886
1,Q-Learning,tou,6,329377.95953918726,135041.3915847136,89915.26751311761,36710.3218334569,18557.251359357226,50265.479648604756
1,Q-Learning,tou,7,208009.524435171,269733.38457781076,334213.00930447126,306396.486148524,174014.03314167287,520961.84218895406
1,Q-Learning,tou,8,112260.09417162045,184875.98000038994,257462.67319332407,240852.99413959568,222985.86558932008,2795496.433167612
1,Q-Learning,tou,9,93453.06522491173,170711.8953366132,228372.53532941782,218791.2499562295,157916.61948987836,3808383.600274509
1,Q-Learning,tou,10,106466.75765401774,204154.3936102857,187691.25120724176,280165.37829533574,256870.0381114377,3120652.1696913973
1,Q-Learning,tou,11,155311.06547225537,211263.14546458013,270151.7419148925,361901.9616721518,224862.6326892423,1985612.994575537
1,Q-Learning,tou,12,193197.7675366604,176300.72198968107,406940.01818226406,347890.57767238136,228885.66332496027,1001290.5425296259
1,Q-Learning,tou,13,219126.160027291,221634.98458886598,413974.3960661454,294484.03593699244,168973.7634560799,524192.70402691327
1,Q-Learning,tou,14,218726.40318142946,339943.91181435256,328741.03906336694,215640.78196292627,115410.33900796475,393863.6990942634
1,Q-Learning,tou,15,216569.9698024076,254016.22319346815,431383.13046074135,288553.6434673783,113065.30721525975,413304.8322201041
1,Q-Learning,tou,16,178475.2542005395,184033.93907938505,370305.9643780334,431711.42505056836,245052.8865122346,836154.0202193812
1,Q-Learning,tou,17,146511.21017132438,177424.2291411097,228494.9717519405,379896.73857339926,299173.47140011116,1819202.6975029076
1,Q-Learning,tou,18,126753.17693206639,213505.47284985206,194181.76415759698,388377.891079935,316355.94349681446,2081610.5382213604
1,Q-Learning,tou,19,167188.39086770706,184898.8374602637,304368.27210764406,415653.89517614176,276076.67766844324,1309610.70996705
1,Q-Learning,tou,20,208330.76351648488,256809.47922289238,426578.5460704785,259807.88815006346,153279.58110118116,388440.66917700495
1,Q-Learning,tou,21,289978.196690244,323562.04941799183,193378.86483583754,92756.25697631517,31291.03946195874,118610.97217060457
1,Q-Learning,tou,22,380567.7809065057,143431.94540594917,87631.4936840853,34796.55650334504,17353.593227413,50307.81191573533
1,Q-Learning,tou,23,351693.73225727695,114650.16962366691,49854.581253370634,14877.30689168416,4983.662341648996,41455.96035595096
1,Q-Learning,tou,0,306037.954516264,75494.67062180076,23469.5907896156,10611.099434524598,8343.546851883546,16305.359525193218
1,Q-Learning,tou,1,297422.00338780216,53764.5426305567,14054.415418986786,7040.952999587054,5546.189267718315,12403.993809283087
1,Q-Learning,tou,2,304408.1643435743,83784.2459393527,42556.99551431399,9963.399173386193,2953.516629433505,29251.663644437107
1,Q-Learning,tou,3,297256.6721261453,81629.28560069612,32633.53782525208,12164.575639204122,980.0058005475195,33331.46997806682
1,Q-Learning,tou,4,296796.82128541835,68335.50240423721,25261.33967993582,9643.947602211578,3583.196406185481,28592.2429467558
2,Q-Learning,tou,5,122583.80487315106,9932.983033867209,6064.387672161215,1197.6339184850635,1395.5927383687936,795.9141487350224
2,Q-Learning,tou,6,350804.63475228334,165839.65815444215,83883.68728460862,30895.122045388078,12426.429150965998,54273.39186470676
2,Q-Learning,tou,7,224214.66555650238,283054.32538172154,422366.1885173623,199230.9370412544,108616.4120519459,398126.0034542722
2,Q-Learning,tou,8,144164.3068639374,168857.4829895714,237422.48628970433,408300.20033424825,306133.8287438065,2068419.3114334897
2,Q-Learning,tou,9,94570.67301455983,166582.01891473136,254323.2778164804,176376.32182011553,211299.6340184487,3736247.5875863973
2,Q-Learning,tou,10,106014.94969515278,201821.0341905036,212481.6834867907,246673.24937325632,237811.16052980672,3354571.657613745
2,Q-Learning,tou,11,145201.18486778063,218969.624202916,281353.63439980114,370186.01026125834,208922.8194984336,2024874.1317944184
2,Q-Learning,tou,12,195552.54651497907,235516.65305579512,344905.376316597,215402.12735539093,189536.52099934872,1316129.867123404
2,Q-Learning,tou,13,173640.4051064353,252903.89616585226,397980.1362755129,243218.54913906788,200090.51585625645,859053.1676829524
2,Q-Learning,tou,14,180643.6550891246,283560.7351720739,402108.02402668726,307572.94221029326,179310.5406945284,588967.8952203485
2,Q-Learning,tou,15,190764.47062140703,211778.09195024712,464245.8711660381,304732.7782022069,178167.79741869506,551090.328063258
2,Q-Learning,tou,16,193341.79276831608,243969.29098636334,381185.1055707944,338805.6195932248,239307.41933081532,752628.3141264622
2,Q-Learning,tou,17,155075.61071242456,204857.2469346595,240537.80317295363,382099.0046367014,368926.96707868966,1569311.8566801376
2,Q-Learning,tou,18,140146.6526197384,197410.0369291948,277842.1665440346,380316.0032051086,365904.78035966697,1701760.6323023248
2,Q-Learning,tou,19,152971.68675291268,198758.32432805948,340348.6000671114,424370.8846431562,241036.65451250403,1354531.3904889028
2,Q-Learning,tou,20,199462.06357659234,237060.72672429928,432608.18648914027,339004.9351630227,166296.31870551407,521413.29754879395
2,Q-Learning,tou,21,230927.58074440493,332507.09475697955,324696.2300670037,115590.17138224302,63663.60088817354,203485.10874605834
2,Q-Learning,tou,22,354060.83030996524,221209.77613231738,59348.414594057875,22267.615349682936,9259.982057270436,73109.53531745991
2,Q-Learning,tou,23,326787.6209260756,72743.26641347594,29296.468546976143,7828.342636359691,2402.247643410973,34125.64703674934
2,Q-Learning,tou,0,285177.38308474317,60409.56268086935,13067.215862035206,5822.191612544108,2108.6727700428964,25639.267104101164
2,Q-Learning,tou,1,277817.53665383515,50644.14072530093,12147.985442564159,5184.581670195846,6320.458308245745,17351.363349141713
2,Q-Learning,tou,2,266334.1401947345,38499.46986407767,9585.310333360218,7289.833591599736,9399.654014162132,9129.382627360836
2,Q-Learning,tou,3,265666.6056972623,47200.248560470056,12431.957074271915,4932.6813569782435,6631.963795630818,13068.506350719097
2,Q-Learning,tou,4,279008.3780313637,60621.71795477966,12208.101521060677,7647.927308167995,6473.566782247653,10652.087455290557
3,Q-Learning,tou,5,146987.18378323148,11348.441481166892,3740.352012375931,2558.3515213316578,1308.1214126610835,1950.5595395148855
3,Q-Learning,tou,6,318782.88541967963,142690.26990603004,71929.84503222967,46208.772058215116,21994.8564316958,70852.15043383358
3,Q-Learning,tou,7,230840.8536515643,242100.75899074663,331086.04424256686,230259.45292616566,132681.55056180037,494307.1427028716
3,Q-Learning,tou,8,129028.2407194517,190870.64292862496,233969.65784036194,359265.4157738838,280866.220016268,2318021.728562722
3,Q-Learning,tou,9,83081.86996372296,160906.72212509476,267254.5446157169,181630.86314297307,193905.3057375743,3784316.4423498265
3,Q-Learning,tou,10,117749.6520128124,173531.1047519573,206306.3160439195,269616.7521282287,233367.5175059717,3035840.071970657
3,Q-Learning,tou,11,155457.2113304768,173911.5446238297,315751.98593962274,415875.33898005896,288960.41034404736,1604571.9620860952
3,Q-Learning,tou,12,190941.47478362932,256710.2461697888,357450.70740397857,332828.948994685,199113.49255266727,945302.0848593945
3,Q-Learning,tou,13,222325.2234028783,260684.14048087527,380936.1080655437,284806.5179154023,164903.27959125224,531496.4892921671
3,Q-Learning,tou,14,207745.16966854365,300464.5899887809,307034.5991591513,316563.4507020527,150204.12293030904,421176.2211219695
3,Q-Learning,tou,15,216108.97270467473,319749.1384952957,415025.2183895353,222588.0859069394,126565.56132186358,373646.6975085465
3,Q-Learning,tou,16,188646.198103565,231400.08718224286,392077.6431813029,343037.7069435616,236874.6233009777,770386.2478768397
3,Q-Learning,tou,17,159120.10471559747,186728.25696419398,266586.332183729,413193.5760906196,275030.3725608667,1606170.818377475
3,Q-Learning,tou,18,134247.55233335705,207058.51730848488,240824.209861517,474105.0301706428,291997.9351366706,1582979.9091947344
3,Q-Learning,tou,19,168152.81876741504,202786.5902017229,330416.94473099185,481676.85620081605,228633.2679828834,1169304.7843654852
3,Q-Learning,tou,20,209399.01842488415,297216.20297505567,427932.7643203002,256952.90782818614,145607.90127310032,469024.7120917202
3,Q-Learning,tou,21,312894.60354584135,289098.72306105704,210246.52671422344,108317.6158292705,54772.73233834301,152596.5278044752
3,Q-Learning,tou,22,359625.36049822904,179391.20159850846,82181.7300041088,47477.537585487094,8584.780753841065,71297.08857591356
3,Q-Learning,tou,23,352928.86380477744,71540.68521644728,33114.20155822306,11994.160935220272,2785.0474416696525,36174.581433202104
3,Q-Learning,tou,0,308266.86740623,46339.635692775606,13343.30677243315,3068.9870366742507,2379.2572600989597,27195.085756615095
3,Q-Learning,tou,1,282559.7886807883,53152.25943570337,16838.634207972955,6991.20038196497,2005.4226700461477,29786.967997186955
3,Q-Learning,tou,2,270373.75711827993,44567.352761590926,15562.590554379169,8362.34348739483,2107.0867146114747,29647.296385929523
3,Q-Learning,tou,3,302640.5793688785,41590.254397158744,27217.541048871197,9845.848811494227,2946.375234578925,32523.946569422435
3,Q-Learning,tou,4,309286.03686562035,63882.305479544775,26811.552403398866,8207.702673957261,2416.9990292323973,30330.058199117135
4,Q-Learning,tou,5,95929.42454109857,3321.583377132817,2733.3837877967208,2721.9402208370448,1595.189274077433,134.45835972209025
4,Q-Learning,tou,6,311486.58936418913,137503.12718595986,55417.14915985876,20378.74775732474,9670.766563957448,42265.08435282466
4,Q-Learning,tou,7,227024.00992951606,332634.0839835668,360034.6587035673,173074.6889836165,101653.4490505117,328336.0788232757
4,Q-Learning,tou,8,134116.32343659122,180847.05501168733,284493.00195091125,377264.901369038,304702.75732148514,1890909.3882148587
4,Q-Learning,tou,9,102497.27554789033,157532.1646100873,262242.3735384321,236686.08799400757,252471.44334594777,3162451.6418693634
4,Q-Learning,tou,10,118301.89622304708,191645.4434593033,214874.4441328128,306157.4011646478,279227.7010153261,2704144.804611161
4,Q-Learning,tou,11,176109.85587830745,168891.18459948982,389600.3932154937,319475.9514215361,278829.32396977354,1404590.6367820527
4,Q-Learning,tou,12,216639.97441212097,303068.2884685812,315679.3766386825,311238.58190105803,157821.80729776813,550662.4964142016
4,Q-Learning,tou,13,215366.99127768763,385154.80703235604,309101.22216343,148861.8903300767,114526.86124436691,311465.2690805552
4,Q-Learning,tou,14,240507.69639601285,337749.95960278803,307622.07883161964,152083.21690263823,64178.38576611252,221417.7280225482
4,Q-Learning,tou,15,214285.65676513812,314313.8610195719,397861.9164827683,208736.72894712814,83275.57267251132,281350.38823889534
4,Q-Learning,tou,16,180031.10134682377,229156.24489850507,393079.0379328751,456897.9090122073,223445.61533664688,625389.542233834
4,Q-Learning,tou,17,146851.81606248592,166279.916721585,276428.7500605585,422304.43882999883,351042.09230002,1558445.5204046606
4,Q-Learning,tou,18,136686.05431937214,202519.36852580344,214285.49945686234,463080.2840105632,397082.4170688434,1654329.302756176
4,Q-Learning,tou,19,186824.34382178102,179915.78295040765,378225.0858724874,526487.2837691486,201066.76345052005,930401.5687237823
4,Q-Learning,tou,20,222382.62293431393,239801.90270957715,467971.8989377705,244757.60104690806,158977.45418724866,477400.6889778633
4,Q-Learning,tou,21,271826.69936041493,357081.79500359145,180556.24665840893,124250.96243388705,57294.54971015004,165935.93362347104
4,Q-Learning,tou,22,371112.70429838385,164361.0186211865,88765.71774795365,30393.00612228609,13081.28245722022,59351.52435783493
4,Q-Learning,tou,23,336066.4647874173,95492.69448477386,75249.58620171616,29305.781383206126,10350.68355737605,39857.17274915418
4,Q-Learning,tou,0,296474.64473326853,75185.65694991474,19938.658572387954,9063.048310821265,5433.372654423565,22295.354248155287
4,Q-Learning,tou,1,245045.0792388713,57466.51921487665,6190.96469549469,2753.0668111604055,6459.321002057943,16506.106049857095
4,Q-Learning,tou,2,251936.21149269532,43751.594299984245,14351.310147187098,3140.9216642409483,5816.191326826919,19462.014898454385
4,Q-Learning,tou,3,245918.6448744863,53545.490004614556,19221.03834895141,6687.046690436869,4288.841463625793,10897.820233651068
4,Q-Learning,tou,4,242082.08435590845,57460.07983653625,13611.07361236393,8976.365299583125,7871.028401842012,1365.3094331276684
5,Q-Learning,tou,5,87112.19283603148,5391.384281609261,2408.2821632776418,1835.49997035046,214.13538921268025,0
5,Q-Learning,tou,6,295716.28441415966,129480.1792709671,67988.5611023502,51332.0699422841,25432.891046328397,67484.25709984066
5,Q-Learning,tou,7,202399.95691958923,297671.12515105214,375418.67413267156,251953.5238065229,121100.83926952518,517722.5118689034
5,Q-Learning,tou,8,146101.5680148764,198407.24015028393,232450.97367278064,384916.8816681719,311063.7297581199,1979894.8577707736
5,Q-Learning,tou,9,128118.95133704349,183023.5487693596,211044.9999788981,169560.9140876162,296841.34785019193,3071594.3298665946
5,Q-Learning,tou,10,140104.75176158894,204879.76010001937,218863.42298506558,312841.84414181975,261414.9619640474,2416292.534442117
5,Q-Learning,tou,11,196570.7121689941,205759.59398130813,395218.3310077871,347625.40131442505,218257.6152658612,1007281.3929224664
5,Q-Learning,tou,12,231479.03944787988,304061.8109048652,449778.36719219526,196048.14632278308,97785.56305153019,349766.11845891015
5,Q-Learning,tou,13,239838.8038984476,334791.61135773076,288312.32397685526,182532.78369345088,118440.39502141885,337931.8108030884
5,Q-Learning,tou,14,243525.86642018333,345220.7762757154,241686.8488702602,204558.34522977998,134718.4870300236,277498.9506654577
5,Q-Learning,tou,15,228866.07917133457,342553.48323723045,354897.005367733,205970.29387023588,97710.46879661722,308444.62071426347
5,Q-Learning,tou,16,192539.84621721998,278706.659864331,455232.19621199486,331891.1623399706,131100.38552323854,578458.2286329274
5,Q-Learning,tou,17,161681.0364119822,219641.5191840817,394098.17332597304,388118.753744514,220772.68045351212,1143961.5524345622
5,Q-Learning,tou,18,157383.40377799244,204241.47434468378,318405.36769276543,462241.05405425705,200384.216726232,1352311.2356094336
5,Q-Learning,tou,19,161898.63871404974,207046.42649360586,366902.98036332824,382995.72969735,232523.48547358994,1026105.1615549447
5,Q-Learning,tou,20,199885.82019818033,262559.66899363924,417460.7452427171,302748.5520324853,157191.47731167515,445115.3741281287
5,Q-Learning,tou,21,264749.9528915854,343827.42776032665,247156.27272989685,134450.40325334037,42504.300621053815,179403.62562546134
5,Q-Learning,tou,22,381364.3021816039,141677.4410924269,101597.10675377228,34943.18985419902,15857.766112283087,58166.26355596493
5,Q-Learning,tou,23,329001.14298505813,113349.41814292464,52885.799745084485,15445.924791581574,3775.659108881619,38528.43066557048
