day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,El Farol,tou,0.5506666666666666,0.1308288862641813,0.1308288862641813,0.33019946311908854,0.07659639751236376,1616,1199,1131,1.5544,v3-2026-07-30-trip-suppression-fix
2,El Farol,tou,0.922,0.1841769258830372,0.1841769258830372,0.34631380957271135,0.09311954671047278,1661,1314,1388,2.6288,v3-2026-07-30-trip-suppression-fix
3,El Farol,tou,0.9266666666666666,0.180499341587339,0.180499341587339,0.388636897594072,0.10114358371683192,1730,1334,1339,2.6424,v3-2026-07-30-trip-suppression-fix
4,El Farol,tou,0.9226666666666666,0.14065395370743636,0.14065395370743636,0.4685932905795432,0.1261655510579168,1605,1381,1436,2.6544,v3-2026-07-30-trip-suppression-fix
5,El Farol,tou,0.92,0.1765829765774714,0.1765829765774714,0.40247366422031217,0.17098649062909144,1858,1678,1299,2.6304,v3-2026-07-30-trip-suppression-fix
6,El Farol,tou,0.9353333333333333,0.20561424748431173,0.20561424748431173,0.372114521492558,0.194965268063632,1938,1661,1388,2.6744,v3-2026-07-30-trip-suppression-fix
7,El Farol,tou,0.9313333333333333,0.19663872942296826,0.19663872942296826,0.48922149600985254,0.12418612917476142,1698,1445,1344,2.6744,v3-2026-07-30-trip-suppression-fix
8,El Farol,tou,0.9286666666666666,0.1962977332982372,0.1962977332982372,0.5303826236505621,0.12971676575973773,1840,1492,1608,2.656,v3-2026-07-30-trip-suppression-fix
9,El Farol,tou,0.9253333333333333,0.19913957667624965,0.19913957667624965,0.3752433017783138,0.11145219558100494,1768,1290,1447,2.6408,v3-2026-07-30-trip-suppression-fix
10,El Farol,tou,0.9246666666666666,0.17262984867069595,0.17262984867069595,0.9503475943680666,0.1438673167715957,1907,1448,1559,2.6248,v3-2026-07-30-trip-suppression-fix
11,El Farol,tou,0.9293333333333333,0.2901905789498033,0.2901905789498033,0.5340386789754363,0.15469707557188805,1613,1228,1637,2.6552,v3-2026-07-30-trip-suppression-fix
12,El Farol,tou,0.932,0.14963523631460113,0.14963523631460113,0.7648473763792125,0.1351706248782453,1584,1192,1695,2.6584,v3-2026-07-30-trip-suppression-fix
13,El Farol,tou,0.926,0.34729406453157724,0.34729406453157724,0.3939378464150996,0.2054104550592495,1763,1277,1669,2.6648,v3-2026-07-30-trip-suppression-fix
14,El Farol,tou,0.912,0.2882159272387493,0.2882159272387493,0.2567028178126132,0.2146641779650009,1764,1245,1717,2.632,v3-2026-07-30-trip-suppression-fix
