day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Exp-Decay,No-Charge,0.5113333333333333,0.13773633458731988,0.13773633458731988,0.19821899301594706,0.06326999751404652,1264,916,860,0
2,Exp-Decay,No-Charge,0.506,0.11882785468078591,0.11882785468078591,0.2192054677545458,0.07021290445140461,1126,945,881,0
3,Exp-Decay,No-Charge,0.5193333333333333,0.15450335193268747,0.15450335193268747,0.2351300606095145,0.06598787494185683,1318,1035,874,0
4,Exp-Decay,No-Charge,0.5186666666666667,0.13283721408387042,0.13283721408387042,0.24454532126424625,0.06806486803661956,1043,984,943,0
5,Exp-Decay,No-Charge,0.5533333333333333,0.24208100352006365,0.24208100352006365,0.21031967116824132,0.06285709685803942,1271,1006,963,0
6,Exp-Decay,No-Charge,0.5133333333333333,0.19029742701958616,0.19029742701958616,0.36230308622928326,0.06975048716619456,1213,992,922,0
7,Exp-Decay,No-Charge,0.5286666666666666,0.15458112790063264,0.15458112790063264,0.19469543579513188,0.06973408467267898,1107,1029,938,0
8,Exp-Decay,No-Charge,0.5366666666666666,0.15368156355644103,0.15368156355644103,0.2669076975057371,0.06698492465448272,1307,947,1050,0
9,Exp-Decay,No-Charge,0.5193333333333333,0.1762186417216151,0.1762186417216151,0.23681601274622846,0.08626288828538507,1296,886,981,0
10,Exp-Decay,No-Charge,0.5393333333333333,0.1819166260000255,0.1819166260000255,0.27553440925863076,0.06869720763201802,1254,1108,1021,0
11,Exp-Decay,No-Charge,0.5166666666666667,0.1265449460548067,0.1265449460548067,0.19530033263635885,0.0649501842733678,1314,1030,1002,0
12,Exp-Decay,No-Charge,0.534,0.1769149127824921,0.1769149127824921,0.2444303745297152,0.07168584108983364,1260,1039,935,0
13,Exp-Decay,No-Charge,0.542,0.2072979541557174,0.2072979541557174,0.28563693470186424,0.06257528962376198,1328,1024,973,0
14,Exp-Decay,No-Charge,0.5273333333333333,0.14042397083994135,0.14042397083994135,0.2082299683411807,0.0754081441738071,1345,1007,993,0
