day,rule,regime,hour,vc_inner
5,Exp-Decay,flat,20,0.06866691503620176
5,Exp-Decay,flat,21,0.04111389214512727
5,Exp-Decay,flat,22,0.01694657884813134
5,Exp-Decay,flat,23,0.035039356319795024
6,Exp-Decay,flat,0,0.018197496297516554
6,Exp-Decay,flat,1,0.01655469207964483
6,Exp-Decay,flat,2,0.018755024814415055
6,Exp-Decay,flat,3,0.017754425437890433
6,Exp-Decay,flat,4,0.02147921238759812
6,Exp-Decay,flat,5,0.006581308781285802
6,Exp-Decay,flat,6,0.03763113927949085
6,Exp-Decay,flat,7,0.1316427585574687
6,Exp-Decay,flat,8,0.2641464912899516
6,Exp-Decay,flat,9,0.3263299527357202
6,Exp-Decay,flat,10,0.21488059858278555
6,Exp-Decay,flat,11,0.1350709590168159
6,Exp-Decay,flat,12,0.07029148807186374
6,Exp-Decay,flat,13,0.06971864746516755
6,Exp-Decay,flat,14,0.07490860392026609
6,Exp-Decay,flat,15,0.13115085648345173
6,Exp-Decay,flat,16,0.12903508981899
6,Exp-Decay,flat,17,0.18007962278219652
6,Exp-Decay,flat,18,0.11350353715853871
6,Exp-Decay,flat,19,0.08783781913890987
6,Exp-Decay,flat,20,0.05140803773136401
6,Exp-Decay,flat,21,0.028803636569749262
6,Exp-Decay,flat,22,0.027829111972042325
6,Exp-Decay,flat,23,0.0260671636829104
7,Exp-Decay,flat,0,0.012086200195621814
7,Exp-Decay,flat,1,0.015742008932929184
7,Exp-Decay,flat,2,0.016570064915181714
7,Exp-Decay,flat,3,0.02382896517139985
7,Exp-Decay,flat,4,0.021218526338203203
7,Exp-Decay,flat,5,0.016841572430202945
7,Exp-Decay,flat,6,0.05069474497590941
7,Exp-Decay,flat,7,0.10597773344057275
7,Exp-Decay,flat,8,0.20721439255811488
7,Exp-Decay,flat,9,0.27669791221398166
7,Exp-Decay,flat,10,0.21180481881256272
7,Exp-Decay,flat,11,0.1506782716192377
7,Exp-Decay,flat,12,0.07808714970375885
7,Exp-Decay,flat,13,0.0643326587618668
7,Exp-Decay,flat,14,0.04673976454785848
7,Exp-Decay,flat,15,0.07940785486468696
7,Exp-Decay,flat,16,0.12045814669029094
7,Exp-Decay,flat,17,0.16636815645808872
7,Exp-Decay,flat,18,0.15359925405402244
7,Exp-Decay,flat,19,0.10614418192265515
7,Exp-Decay,flat,20,0.06672072127369064
7,Exp-Decay,flat,21,0.04084695450767418
7,Exp-Decay,flat,22,0.01716921206997835
7,Exp-Decay,flat,23,0.016172227046351555
8,Exp-Decay,flat,0,0.02008044399594533
8,Exp-Decay,flat,1,0.0075264651518865255
8,Exp-Decay,flat,2,0.03408400030969929
8,Exp-Decay,flat,3,0.028109597082610537
8,Exp-Decay,flat,4,0.044742671520510466
8,Exp-Decay,flat,5,0.016698763931041898
8,Exp-Decay,flat,6,0.06321556635279904
8,Exp-Decay,flat,7,0.11609931687376436
8,Exp-Decay,flat,8,0.19200091648195514
8,Exp-Decay,flat,9,0.2751460451193704
8,Exp-Decay,flat,10,0.20107217212011072
8,Exp-Decay,flat,11,0.13066861702676125
8,Exp-Decay,flat,12,0.0916989385770509
8,Exp-Decay,flat,13,0.08345194308036098
8,Exp-Decay,flat,14,0.08150693814813538
8,Exp-Decay,flat,15,0.05899697773178574
8,Exp-Decay,flat,16,0.07632331600936487
8,Exp-Decay,flat,17,0.12567179500744646
8,Exp-Decay,flat,18,0.11844179827712237
8,Exp-Decay,flat,19,0.11808301645953041
8,Exp-Decay,flat,20,0.05680324601116498
8,Exp-Decay,flat,21,0.03839971075738322
8,Exp-Decay,flat,22,0.031356238388951095
8,Exp-Decay,flat,23,0.018482372705175058
9,Exp-Decay,flat,0,0.01304083536909117
9,Exp-Decay,flat,1,0.017683304593517045
9,Exp-Decay,flat,2,0.02455913816651991
9,Exp-Decay,flat,3,0.021974946343590387
9,Exp-Decay,flat,4,0.03012307684508798
9,Exp-Decay,flat,5,0.00819717734069379
9,Exp-Decay,flat,6,0.04133566392933716
9,Exp-Decay,flat,7,0.08640028272950555
9,Exp-Decay,flat,8,0.22707136055121027
9,Exp-Decay,flat,9,0.23293840812323638
9,Exp-Decay,flat,10,0.14288114764403476
9,Exp-Decay,flat,11,0.12780246504287793
