"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"los-bands"
"07/27/2026 00:03:25:651 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner"
"3","El Farol","No-Charge","14","0","0","0"
"1","Exp-Decay","No-Charge","14","0","0","0"
"6","Q-Learning","tou","14","0","0","0"
"5","Q-Learning","No-Charge","14","0","0","0"
"2","Exp-Decay","tou","14","0","0","0"
"4","El Farol","tou","14","0","0","0"
"2","Exp-Decay","tou","14","1","1","0.1035304746179941"
"1","Exp-Decay","No-Charge","14","1","1","0.12758947537708756"
"5","Q-Learning","No-Charge","14","1","1","0.1364803500735746"
"6","Q-Learning","tou","14","1","1","0.1364803500735746"
"4","El Farol","tou","14","1","1","0.1426736875585494"
"3","El Farol","No-Charge","14","1","1","0.14538156844713468"
"2","Exp-Decay","tou","14","2","2","0.09022433795337242"
"5","Q-Learning","No-Charge","14","2","2","0.10991445433346443"
"6","Q-Learning","tou","14","2","2","0.10991445433346443"
"1","Exp-Decay","No-Charge","14","2","2","0.11488469000627051"
"4","El Farol","tou","14","2","2","0.14634709406397695"
"3","El Farol","No-Charge","14","2","2","0.17373386597160373"
"2","Exp-Decay","tou","14","3","3","0.10307636355184795"
"6","Q-Learning","tou","14","3","3","0.13281701490645972"
"5","Q-Learning","No-Charge","14","3","3","0.1197121270581524"
"1","Exp-Decay","No-Charge","14","3","3","0.11730181667928281"
"4","El Farol","tou","14","3","3","0.15388848445683306"
"2","Exp-Decay","tou","14","4","4","0.08556492795507056"
"3","El Farol","No-Charge","14","3","3","0.17139914313919447"
"6","Q-Learning","tou","14","4","4","0.09790168715244829"
"1","Exp-Decay","No-Charge","14","4","4","0.10051156986463398"
"5","Q-Learning","No-Charge","14","4","4","0.15080639270719637"
"2","Exp-Decay","tou","14","5","5","0.0788607825394659"
"4","El Farol","tou","14","4","4","0.19866076134803357"
"6","Q-Learning","tou","14","5","5","0.09272758472587417"
"3","El Farol","No-Charge","14","4","4","0.14801925338316568"
"1","Exp-Decay","No-Charge","14","5","5","0.10903699186543056"
"5","Q-Learning","No-Charge","14","5","5","0.1299277025024159"
