"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/25/2026 16:20:19:012 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"1","Q-Learning","No-Charge","0.2","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Q-Learning","tou","0.4","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Q-Learning","tou","0.2","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Q-Learning","No-Charge","0.4","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Q-Learning","No-Charge","0.6","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","0.6","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Q-Learning","No-Charge","0.6","14","1","0.10786289457115836","1","0.39398681221923787","0.07122593334258151","92.41618967852938","85.74359405694496","87.87890596417668","83.41625826747567","81.60403785019481","81.15602976360734","83.46886423148943","78.98612769955139"
"4","Q-Learning","tou","0.2","14","1","0.13113571910008429","1","0.379348625472273","0.07525978827748228","91.45640247032787","88.57973531881441","85.50303687768042","83.4378899167665","72.1385351984198","79.72960536858925","84.10615381937548","79.23375444765227"
"2","Q-Learning","No-Charge","0.4","14","1","0.1364803500735746","1","0.4065929454832226","0.0723682348542276","92.23902619425365","87.06642657811356","86.36958071334222","82.41715906768997","77.07735236783725","84.30205637525741","84.21816838621949","80.69126951959045"
"1","Q-Learning","No-Charge","0.2","14","1","0.13113571910008429","1","0.379348625472273","0.07525978827748228","91.45640247032787","88.57973531881441","85.50303687768042","83.4378899167665","72.1385351984198","79.72960536858925","84.10615381937548","79.23375444765227"
"6","Q-Learning","tou","0.6","14","1","0.10786289457115836","1","0.39398681221923787","0.07122593334258151","92.41618967852938","85.74359405694496","87.87890596417668","83.41625826747567","81.60403785019481","81.15602976360734","83.46886423148943","78.98612769955139"
"5","Q-Learning","tou","0.4","14","1","0.1364803500735746","1","0.4065929454832226","0.0723682348542276","92.23902619425365","87.06642657811356","86.36958071334222","82.41715906768997","77.07735236783725","84.30205637525741","84.21816838621949","80.69126951959045"
"3","Q-Learning","No-Charge","0.6","14","2","0.11913760811871221","2","0.3463334956862817","0.06822912210562601","91.86124093027787","86.0467000342168","86.20426515467084","82.97076438069176","81.0748848751829","79.42667430398187","82.3056505990639","79.17217240486995"
"2","Q-Learning","No-Charge","0.4","14","2","0.10991445433346443","2","0.33320560186075676","0.07162411573876455","92.23361717506228","85.22988531992172","87.68348893216226","82.61228909187457","72.84174164031569","82.24665147273916","82.49166238534917","79.74599171989094"
"4","Q-Learning","tou","0.2","14","2","0.13167260883385717","2","0.3447086519762309","0.07535807612049907","92.45657269532283","84.83406364957665","86.28649996571173","84.36880427983859","72.88689968810567","81.13466589372545","84.04208507194741","79.25972855178209"
"5","Q-Learning","tou","0.4","14","2","0.10991445433346443","2","0.33320560186075676","0.07162411573876455","92.23361717506228","85.22988531992172","87.68348893216226","82.61228909187457","72.84174164031569","82.24665147273916","82.49166238534917","79.74599171989094"
"6","Q-Learning","tou","0.6","14","2","0.11913760811871221","2","0.3463334956862817","0.06822912210562601","91.86124093027787","86.0467000342168","86.20426515467084","82.97076438069176","81.0748848751829","79.42667430398187","82.3056505990639","79.17217240486995"
"1","Q-Learning","No-Charge","0.2","14","2","0.13167260883385717","2","0.3447086519762309","0.07535807612049907","92.45657269532283","84.83406364957665","86.28649996571173","84.36880427983859","72.88689968810567","81.13466589372545","84.04208507194741","79.25972855178209"
"4","Q-Learning","tou","0.2","14","3","0.10005130752068869","3","0.26861665028580795","0.05486057374469884","91.80442461493686","83.56857820852989","86.05339766214367","83.08922931198008","67.96088903950137","78.34597345130543","82.57006850603533","78.54140366281993"
"5","Q-Learning","tou","0.4","14","3","0.13281701490645972","3","0.3272931618708011","0.06826775567995896","91.3587310115697","88.60073030877288","86.88963833266591","84.64750913182522","72.72927128093512","81.02954533025513","83.16312624065667","78.35266852076106"
"2","Q-Learning","No-Charge","0.4","14","3","0.1197121270581524","3","0.4048714236286758","0.07467623355544835","92.11040484250465","87.77401150076427","86.6255839073005","85.52118516893421","76.74464802805161","81.84137255447247","83.34269326618285","79.1326354467929"
"3","Q-Learning","No-Charge","0.6","14","3","0.15608206183894732","3","0.36300955182411726","0.08179131403261253","91.31412686432449","90.32835365272109","87.68366930756994","81.00074489146579","79.54580945794841","80.01701607075371","83.7380987921845","79.52921325650868"
"6","Q-Learning","tou","0.6","14","3","0.13238432711970877","3","0.33989133267971744","0.07488994179416845","91.44734266392807","88.31631511509335","87.28171958012945","81.034328296815","76.59197413399953","79.67689015005132","83.0230931108494","79.103039770635"
"1","Q-Learning","No-Charge","0.2","14","3","0.1029713562524989","3","0.32123696334074264","0.060531651411269864","92.14075612100666","85.46192680417172","87.00632638317623","82.2150976139657","71.27704561580573","79.71693966399951","83.23811137813513","79.63723638826967"
"4","Q-Learning","tou","0.2","14","4","0.0965947618213712","4","0.20436085977326254","0.06125253203256339","90.18324241722786","81.18466181796123","81.99979349041189","80.03092934933997","62.10954803123272","76.73676272909016","80.82263982368914","76.14551254817468"
"5","Q-Learning","tou","0.4","14","4","0.09790168715244829","4","0.2553124909297474","0.06589303783988176","90.36399427521494","80.84224425315229","83.43583883460704","82.96360304496407","70.29143550157112","80.73454781802066","82.23381277799963","76.92956068154966"
"6","Q-Learning","tou","0.6","14","4","0.08878308375327552","4","0.2997447291566101","0.058112966743722","91.44281648549486","81.24271391262964","85.89572323504508","81.9895030183024","72.74371877431578","79.73697117670967","83.04987595863024","79.31462213508206"
