"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"elfarol-seeds"
"07/25/2026 21:27:41:799 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","el-farol-threshold","control-seed?","current-seed","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"2","El Farol","No-Charge","0.6","true","101","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","El Farol","No-Charge","0.6","true","11","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","El Farol","No-Charge","0.6","true","404","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","El Farol","No-Charge","0.6","true","202","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","El Farol","tou","0.6","true","11","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","No-Charge","0.6","true","303","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","El Farol","tou","0.6","true","11","14","1","0.1426736875585494","1","0.4448850796090948","0.08488101131745832","93.29668774460949","92.04681141786818","89.36054144976718","82.78043860980564","82.07177685114245","82.59936537623075","84.48935272756395","79.743455226003"
"1","El Farol","No-Charge","0.6","true","11","14","1","0.14538156844713468","1","0.517892986961543","0.09928896680097997","93.67380029523349","92.90530140234306","91.58983914475158","83.46292472322533","86.80556980122783","87.62585054561025","87.7945328285021","82.44848047791534"
"5","El Farol","No-Charge","0.6","true","404","14","1","0.15594935568642732","1","0.5799770475466971","0.09503217599274798","94.31607592012959","90.93324610393992","90.97517517440032","85.10245840104778","86.18386701234142","86.56200581597801","86.31203665585707","81.66710111198209"
"2","El Farol","No-Charge","0.6","true","101","14","1","0.14141575764254088","1","0.5177898844871571","0.08551437825558637","92.98710740107066","91.1072649335591","90.38362776050177","85.1742116007761","83.3453658720892","84.60601003522864","86.59649398053429","81.46280056557639"
"4","El Farol","No-Charge","0.6","true","303","14","1","0.16637250142709065","1","0.7178006077420116","0.10956943317698976","93.06589956610914","92.34841617414958","92.17925712364851","86.86598987939713","90.3403703188909","87.30769390196427","87.21074837132664","84.00941044044218"
"3","El Farol","No-Charge","0.6","true","202","14","1","0.1514587543911822","1","0.6776433621607868","0.09930567825518591","93.51743968435677","91.64260633329744","90.92741669919549","88.0062456955824","86.83970542814325","88.2901206079127","86.30419801179033","75.30837831882434"
"6","El Farol","tou","0.6","true","11","14","2","0.14634709406397695","2","0.6735097295502323","0.13088007973335497","95.02165541780376","94.13534382468772","91.86962433945214","87.95834096378036","86.5125193403807","84.99418352664763","86.14586441882749","81.62075320492332"
"1","El Farol","No-Charge","0.6","true","11","14","2","0.17373386597160373","2","0.7487134915247822","0.12677177704536136","95.30396987074587","92.22028366020646","92.50818492689748","87.42971474554325","86.5178276828966","87.24134390097954","88.36272767837102","83.26926795081897"
"5","El Farol","No-Charge","0.6","true","404","14","2","0.1872288967918689","2","0.80547197168825","0.11001254208777085","95.08376175251382","90.87018672159803","92.24871165050244","88.69587294466311","86.47790379978734","87.12248217467192","88.28900397453013","83.7576997158886"
"4","El Farol","No-Charge","0.6","true","303","14","2","0.16025666190345028","2","0.7237622701673857","0.10492501191647569","94.45537163917116","92.5094007921043","92.2876109748108","86.31504305780238","91.07675232024654","88.33926528882135","87.07057739836387","83.59494779333214"
"2","El Farol","No-Charge","0.6","true","101","14","2","0.18184159229616892","2","0.8999126948367794","0.11712865233024866","94.91274293747873","93.53498953192954","91.8308769588582","86.9522625476189","90.31056173504955","88.14487520861894","88.34127968885528","80.62190309794457"
"3","El Farol","No-Charge","0.6","true","202","14","2","0.16797791070990759","2","0.7411658807952287","0.13342918906242768","94.74967124340549","94.11850072103769","93.80302963542431","88.35972284283231","86.81709907257883","88.04478334366985","87.75008037085615","79.30389972499944"
"6","El Farol","tou","0.6","true","11","14","3","0.15388848445683306","3","0.7538016018945335","0.10886415068959099","94.6466410851302","93.87228518911468","91.77431322569494","84.53795147076166","86.66408629539771","86.12857742895105","86.46345308530242","83.19232161394743"
"1","El Farol","No-Charge","0.6","true","11","14","3","0.17139914313919447","3","0.8318314205518338","0.10974712827267782","94.84976187725331","92.30625281177244","91.49473244490481","86.3709184951682","89.20255877487838","87.8661803488233","88.9291539285778","83.73722177011405"
"4","El Farol","No-Charge","0.6","true","303","14","3","0.16682956244273173","3","0.8341553046171174","0.12512602415006108","95.18850268841246","93.9933688975641","92.69488145417976","86.10286808646661","90.94560270337715","88.6911187007566","87.20320124736823","84.40878434394686"
"5","El Farol","No-Charge","0.6","true","404","14","3","0.1863545354513208","3","0.7923930089325445","0.11943457839435515","95.55589724862084","94.26526930863267","93.38300123617097","86.74843262603864","86.57768607654182","87.8948475094912","88.53021740162227","82.71877441098508"
"2","El Farol","No-Charge","0.6","true","101","14","3","0.1408090494766738","3","0.7252078137223303","0.09925378785529751","94.50200167501107","92.23897893557566","92.09501638827663","84.73215637095055","90.40035369179137","87.84350625026158","88.97345561848259","81.7419966431197"
"3","El Farol","No-Charge","0.6","true","202","14","3","0.1866033920013533","3","0.8075874958820914","0.11940954819564573","94.75169315686144","93.75053953824576","90.35885697959152","86.32474508809038","86.67525057962092","88.5377886091088","87.94770027381568","81.76731349381659"
"6","El Farol","tou","0.6","true","11","14","4","0.19866076134803357","4","0.8328546836381535","0.10946627951195367","94.25230596892594","94.33160364371611","91.57307977828141","86.01462580917648","86.67480353144475","88.35458051434897","87.71622100069216","83.3443242814392"
"1","El Farol","No-Charge","0.6","true","11","14","4","0.14801925338316568","4","0.7824485282867235","0.10394934930966411","94.20990717930226","94.22537407707661","91.93212453029399","86.91527371497456","91.03236358967243","87.73859098253998","89.21280139799374","84.0116461429435"
"4","El Farol","No-Charge","0.6","true","303","14","4","0.1440443092133161","4","0.7542680896268971","0.12860259848751468","95.44097716978253","93.02260346365077","92.84607126490064","86.04145589632769","90.97010656285622","88.83407129884883","87.66459184310956","85.47300172966202"
"2","El Farol","No-Charge","0.6","true","101","14","4","0.17809635821071132","4","0.7472956752375838","0.11367587141721647","94.01007477904456","93.70952420133789","92.57721806899593","86.46809538260908","90.33680189868205","88.33335862726224","89.43515734786024","82.63199411292506"
"5","El Farol","No-Charge","0.6","true","404","14","4","0.16379909080700555","4","0.8618062255387765","0.12215678981678425","94.23749338445977","91.43510790897285","91.27451821535129","86.87626446741692","86.6460654740194","88.45556983827287","88.96543352049041","82.84941510845856"
"3","El Farol","No-Charge","0.6","true","202","14","4","0.1721391036843186","4","0.8849298683336566","0.1243985056264951","94.94342977789677","93.0661189411488","91.33362977678607","90.02110054095702","86.71306588262068","88.83209138538471","88.78491006941037","81.7926991705366"
"6","El Farol","tou","0.6","true","11","14","5","0.20564336657554744","5","0.6818119555210121","0.1459073294927215","94.56398649077614","95.01039542095424","91.93393693265807","86.96741967454774","86.6098990844003","88.68659212039154","87.83559707896647","83.67053474165678"
"1","El Farol","No-Charge","0.6","true","11","14","5","0.17946057630652756","5","0.7729679922962703","0.13566329968109944","94.27902359430047","93.35768806911888","91.71222126988044","88.15385960619679","91.10291682357263","87.98181170648235","89.37507686073955","83.72722733820949"
"4","El Farol","No-Charge","0.6","true","303","14","5","0.21293395996504674","5","0.708736376622484","0.1236681667092805","94.9758680580355","94.96866752525023","91.320429199163","86.47799202818064","90.35160200318461","88.8686594574418","88.06384626011642","86.03580254324854"
"2","El Farol","No-Charge","0.6","true","101","14","5","0.16320166235653122","5","0.8025660316353094","0.11803636848623514","93.65923342827641","93.93722458356743","91.9599404226375","86.49210246606768","90.43264789993358","88.07875853321642","89.7964048149598","83.68825802984476"
"5","El Farol","No-Charge","0.6","true","404","14","5","0.173492040235731","5","0.7848148176320349","0.10654618207367528","94.80988715164234","93.01959176971398","91.98016007931056","85.9638217068358","86.70693140676991","88.94744756605812","88.74524682642297","82.57273263037013"
"3","El Farol","No-Charge","0.6","true","202","14","5","0.1843796699227258","5","0.8499982329494525","0.09675326638743961","94.52702171337074","95.02828924319965","92.65852446581651","85.2111465616717","86.68745403203869","88.84900903751587","88.71128029576045","81.21131982732874"
"6","El Farol","tou","0.6","true","11","14","6","0.16737447960523338","6","0.7221978639601018","0.1143972259764933","94.75694806043914","94.93311621871048","92.69399704151121","84.85874483765267","86.77939988266118","89.22887050166403","88.63285158149857","83.77739585795973"
"1","El Farol","No-Charge","0.6","true","11","14","6","0.19184815500832672","6","0.7777728680288515","0.10913810061359122","94.62700864751278","93.87212985228305","90.3287677829731","87.21312700383271","91.05336031276204","88.19445274478468","89.18261481110501","83.93597516438868"
"4","El Farol","No-Charge","0.6","true","303","14","6","0.1726624039925727","6","0.8135733347940265","0.1043966854231797","95.21834285730614","93.88338050723247","93.17543046596954","87.88878496458476","90.97925000785087","88.824293142416","87.72452332587","85.76499810439017"
"5","El Farol","No-Charge","0.6","true","404","14","6","0.20360261347458616","6","0.7783179192925245","0.10171139548850637","94.9417010301359","92.29212450130703","91.99864111126551","87.56540687004278","86.75475097363339","88.99374141593607","88.6227058064552","83.3578623962958"
"2","El Farol","No-Charge","0.6","true","101","14","6","0.14572754158651052","6","0.9334295176182534","0.11736267720638233","95.040834251181","94.38301735214638","93.00917286427527","85.9034020888195","90.52339734326716","88.18384398262134","89.34477727558752","83.10167468131506"
"3","El Farol","No-Charge","0.6","true","202","14","6","0.1645147563180643","6","0.7611894518812263","0.10640854438855564","94.29521407939971","92.48224729482703","90.87760362333812","85.18776981773362","86.67987850811981","88.98819527052216","88.90338898480704","81.40792726746032"
"6","El Farol","tou","0.6","true","11","14","7","0.17931271143160044","7","0.7469044432256611","0.12433782815660492","94.50685520352923","94.3311335430518","92.9448716572424","86.5059272190339","90.51835417744795","89.28406374493045","88.45747502435947","84.0050774969718"
"1","El Farol","No-Charge","0.6","true","11","14","7","0.2102663220894989","7","0.7373097803025961","0.11493733226174732","94.91217073106542","93.30628736326685","92.36595657774122","85.6740496993778","90.93105576661483","88.14900771940724","89.49814244819883","83.94999127978363"
"4","El Farol","No-Charge","0.6","true","303","14","7","0.13274665081421988","7","0.8821420527510162","0.13421429257089482","95.73075493453274","93.7641207343927","91.01896383266752","90.45972718753275","91.03579271693887","88.2924233818541","87.62772865927687","85.56801449100362"
"5","El Farol","No-Charge","0.6","true","404","14","7","0.17308947038396758","7","0.7771299190491847","0.11550377826103507","95.42385155517894","92.93641115373251","92.92111305622956","87.90290788559194","86.69028251887528","88.9391189091621","88.61677827931054","83.53263467640504"
"2","El Farol","No-Charge","0.6","true","101","14","7","0.16764965983593208","7","0.7405980814803295","0.09146873034309545","93.69300676502655","94.39314278876866","92.71852323549304","86.87102633694738","90.52206482202715","88.6927969140044","89.47494013491875","83.86386835071518"
"3","El Farol","No-Charge","0.6","true","202","14","7","0.16789218884302115","7","0.8104063695530642","0.109964276254017","94.34751500152821","93.6715115878555","92.25821728366365","85.0820602486117","86.63156351175331","89.38471594607397","88.87307353459079","81.53530491238307"
