"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-elfarol"
"07/25/2026 10:24:10:944 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","el-farol-threshold","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"6","El Farol","tou","0.7","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","El Farol","tou","0.6","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","El Farol","No-Charge","0.6","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","El Farol","No-Charge","0.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","El Farol","No-Charge","0.7","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","tou","0.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","tou","0.5","14","1","0.08463897979551893","1","0.2625792857040877","0.06461565175396229","91.5664086141827","80.66023101556165","84.96491368264508","81.47579227897647","62.20222682842948","76.36732726982306","79.54216439349845","72.847326129225"
"1","El Farol","No-Charge","0.5","14","1","0.13405119243733765","1","0.3628344417321653","0.08678916822770487","92.36960188985358","89.62049722635416","87.73978486730581","82.50717608014352","76.004102918071","83.85796175224831","84.39961723309399","78.10819259648159"
"5","El Farol","tou","0.6","14","1","0.1426736875585494","1","0.4448850796090948","0.08488101131745832","93.29668774460949","92.04681141786818","89.36054144976718","82.78043860980564","82.07177685114245","82.59936537623075","84.48935272756395","79.743455226003"
"2","El Farol","No-Charge","0.6","14","1","0.14538156844713468","1","0.517892986961543","0.09928896680097997","93.67380029523349","92.90530140234306","91.58983914475158","83.46292472322533","86.80556980122783","87.62585054561025","87.7945328285021","82.44848047791534"
