link_id,class,group,position,adt_obs,veh_day_model
l_1762,arterial,West,peripheral,34625,0
l_1766,motorway,MWY,peripheral,95000,93600
l_2525,motorway,MWY,peripheral,85000,96060
l_1419,arterial,East,peripheral,20157,78120
l_826,arterial,East,peripheral,18554,1380
l_1727,arterial,CBD,inner,8479,61800
l_2136,motorway,MWY,peripheral,85000,29520
l_1271,arterial,West,peripheral,27326,30240
l_330,arterial,East,peripheral,27324,10140
l_25,arterial,CBD,inner,25486,81000
l_2086,motorway,MWY,peripheral,85000,0
l_892,arterial,West,peripheral,16293,2400
l_1441,motorway,MWY,peripheral,90000,360
l_1808,arterial,East,peripheral,9523,4380
l_2507,arterial,West,peripheral,34625,0
l_1788,arterial,CBD,inner,21939,122940
l_676,arterial,CBD,inner,25748,24960
l_525,arterial,East,peripheral,24996,96060
l_2268,arterial,West,boundary,20224,122820
l_899,arterial,CBD,inner,15177,67260
l_509,arterial,CBD,inner,25486,41400
l_2508,arterial,East,boundary,30388,10320
l_598,arterial,West,peripheral,28195,22560
l_629,arterial,West,peripheral,8296,5400
l_734,arterial,West,boundary,28195,25320
l_257,arterial,West,peripheral,28822,1920
l_1029,arterial,CBD,inner,8479,62760
l_1763,arterial,West,peripheral,34625,66240
l_596,arterial,West,boundary,34625,65160
l_1267,arterial,East,boundary,30388,300
l_2400,arterial,West,peripheral,30484,50460
l_20,arterial,East,peripheral,12000,1200
l_1754,arterial,East,boundary,22621,176040
l_2665,arterial,West,peripheral,3000,0
l_895,arterial,West,peripheral,28195,14700
l_132,arterial,West,peripheral,4318,3900
l_2353,motorway,MWY,peripheral,90000,211320
l_886,arterial,East,peripheral,9354,28320
l_259,arterial,West,peripheral,43962,18360
l_813,arterial,West,peripheral,25486,14880
l_241,arterial,East,peripheral,9354,28320
l_278,arterial,West,peripheral,28822,1920
l_683,arterial,West,peripheral,16734,16740
l_954,arterial,West,peripheral,28195,14100
l_1377,arterial,East,peripheral,15481,14760
l_60,arterial,West,peripheral,28195,23040
l_513,arterial,CBD,inner,4804,42360
l_605,arterial,West,peripheral,28822,25500
l_872,arterial,East,peripheral,27324,11580
l_327,arterial,East,peripheral,18554,1560
l_86,arterial,CBD,inner,25748,24480
l_646,arterial,CBD,inner,8869,30420
l_750,arterial,East,peripheral,18554,1380
l_1639,arterial,West,peripheral,7783,5580
l_226,arterial,East,peripheral,27324,11580
l_370,arterial,CBD,inner,16293,83520
l_269,arterial,West,peripheral,17823,26280
l_2197,motorway,MWY,boundary,90000,211920
