"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"akl_traffic.nlogo"
"calibration-demand"
"07/22/2026 21:26:53:694 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west"
"1","Exp-Decay","No-Charge","5","0","0","0","0","0","0","0"
"1","Exp-Decay","No-Charge","5","1","1","0.14528105700415805","95.13147765260342","93.1467403766429","90.77509642709674","84.3138391623582"
"1","Exp-Decay","No-Charge","5","2","2","0.13853242809647334","94.18564310858552","87.12473819058538","89.65359498732677","86.786119478057"
"1","Exp-Decay","No-Charge","5","3","3","0.14325722324672727","94.76860058277069","90.35173113354638","89.6645323319242","84.69600854326886"
"1","Exp-Decay","No-Charge","5","4","4","0.15516071370150514","94.12305718347955","90.17656347768126","89.02637092713256","84.43419875573275"
"1","Exp-Decay","No-Charge","5","5","5","0.2218129148957257","93.89057276670565","91.49661170030278","90.45477333233187","88.36518705960519"
