day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,tou,0.7546666666666667,0.11926086301243963,0.11926086301243963,0.47341938734696243,0.08779518528315922,1544,1079,1054,2.0992
2,Q-Learning,tou,0.7446666666666667,0.10993087047889494,0.10993087047889494,0.5345801687821734,0.07181247049461871,1528,1070,1033,2.084
3,Q-Learning,tou,0.74,0.10986106774660516,0.10986106774660516,0.639541739891757,0.08441396745885707,1538,1056,1047,2.0848
4,Q-Learning,tou,0.698,0.11046929237952119,0.11046929237952119,0.44991200380287844,0.07763950463111742,1484,1033,994,1.972
5,Q-Learning,tou,0.662,0.11693783909086472,0.11693783909086472,0.4027177134794588,0.0703931258606177,1422,1001,959,1.8448
6,Q-Learning,tou,0.646,0.12181718989519807,0.12181718989519807,0.41347330061678644,0.07374923139605587,1407,997,959,1.8152
7,Q-Learning,tou,0.6353333333333333,0.15809757950449166,0.15809757950449166,0.367025684695764,0.07873454239659214,1400,981,945,1.78
8,Q-Learning,tou,0.6073333333333333,0.09306564232732162,0.09306564232732162,0.2875157668914693,0.07964652605014266,1389,975,927,1.64
9,Q-Learning,tou,0.5853333333333334,0.09998576984057836,0.09998576984057836,0.34062482713877645,0.05599988250696295,1333,958,901,1.5992
10,Q-Learning,tou,0.5526666666666666,0.11580785196752826,0.11580785196752826,0.28465120227400037,0.060597123036934146,1317,938,870,1.5224
11,Q-Learning,tou,0.536,0.09087792419054257,0.09087792419054257,0.24404690313579636,0.07225335392715967,1284,922,866,1.4656
12,Q-Learning,tou,0.496,0.10305588773198116,0.10305588773198116,0.22949295684842333,0.05705965979728326,1251,901,813,1.3344
13,Q-Learning,tou,0.502,0.10601735423198097,0.10601735423198097,0.3522814469354222,0.05971155162625392,1251,894,837,1.3552
14,Q-Learning,tou,0.47,0.0807561361175915,0.0807561361175915,0.23586528348728808,0.05618339659354755,1197,871,800,1.2608
