Model,Fee ($),Mean V/C,Max V/C,Mean Density,Congestion Rate (%),Severe Cong. (%),Peak V/C,Peak Cong. (%),Boundary V/C,Inner V/C,Worst Road
NetLogo,0.0,0.448,1.105,0.28,2.1,11.8,0.556,2.3,0.439,0.453,"(1,1)"
NetLogo,2.0,0.243,1.05,0.28,0.2,17.0,0.291,0.4,0.366,0.141,"(0,0)"
Baseline,0.0,0.453,1.018,0.276,0.5,2.0,0.563,0.3,0.445,0.458,"(1,1)"
Baseline,2.0,0.373,1.11,0.235,3.1,2.4,0.446,2.3,0.53,0.25,"(1,0)"
El Farol,0.0,0.445,1.011,0.271,0.7,1.6,0.554,0.5,0.437,0.449,"(1,1)"
El Farol,2.0,0.413,1.126,0.256,1.6,2.3,0.513,0.9,0.494,0.349,"(1,0)"
Q-Learning,0.0,0.444,0.958,0.271,0.4,1.5,0.551,0.2,0.435,0.449,"(1,1)"
Q-Learning,2.0,0.404,1.043,0.251,1.2,2.1,0.495,0.9,0.496,0.331,"(1,0)"
