id,adt
l_456,10658
l_457,12562
l_458,25486
l_459,18554
l_460,7783
l_461,16700
l_462,16293
l_463,16293
l_464,16734
l_465,16734
l_466,16734
l_467,43962
l_468,43962
l_469,18012
l_470,28195
l_471,12562
l_472,12793
l_473,12562
l_474,12562
l_475,38827
l_476,13785
l_477,25486
l_478,43962
l_479,43962
l_480,14414
l_481,25486
l_482,11780
l_483,27324
l_484,9369
l_485,9369
l_486,27324
l_487,15481
l_488,43962
l_489,43962
l_490,43962
l_491,43962
l_492,15906
l_493,15906
l_494,17823
l_495,17823
l_496,17823
l_497,17823
l_498,17823
l_499,17823
l_500,12793
l_501,12793
l_502,16700
l_503,16700
l_504,38827
l_505,8479
l_506,34625
l_507,34625
l_508,25486
l_509,25486
l_510,25486
l_511,10658
l_512,10658
l_513,4804
l_514,4804
l_515,12512
l_516,13785
l_517,12793
l_518,12000
l_519,12000
l_520,18554
l_521,18554
l_522,28195
l_523,28195
l_524,24996
l_525,24996
l_526,12259
l_527,12259
l_528,7124
l_529,15906
l_530,15906
l_531,8869
l_532,12793
l_533,12793
l_534,12000
l_535,12793
l_536,12793
l_537,12793
l_538,8869
l_539,12000
l_540,12000
l_541,8869
l_542,8869
l_543,16734
l_544,43962
l_545,43962
l_546,43962
l_547,43962
l_548,43962
l_549,43962
l_550,43962
l_551,43962
l_552,43962
l_553,43962
l_554,43962
l_555,43962
l_556,43962
l_557,43962
l_558,43962
l_559,16734
l_560,43962
l_561,16734
l_562,43962
l_563,34625
l_564,34625
l_565,34625
l_566,15481
l_567,15481
l_568,19825
l_569,19825
l_570,28822
l_571,28822
l_572,28822
l_573,28822
l_574,28822
l_575,4318
l_576,16700
l_577,25486
l_578,28822
l_579,28822
l_580,34625
l_581,12512
l_582,12512
l_583,9354
l_584,28822
l_585,15481
l_586,15481
l_587,18554
l_588,28195
l_589,18554
l_590,15481
l_591,15481
l_592,18554
l_593,18554
l_594,15906
l_595,15906
l_596,34625
l_597,34625
l_598,28195
l_599,28195
l_600,28822
l_601,34625
l_602,9354
l_603,9354
l_604,28822
l_605,28822
l_606,28195
l_607,28822
l_608,28822
l_609,3000
l_610,21939
l_611,21939
l_612,18012
l_613,17823
l_614,17823
l_615,16293
l_616,9627
l_617,9627
l_618,17823
l_619,18012
l_620,18012
l_621,16293
l_622,16293
l_623,17823
l_624,21939
l_625,16293
l_626,16293
l_627,16293
l_628,8296
l_629,8296
l_630,21939
l_631,21939
l_632,21939
l_633,7783
l_634,25748
l_635,3000
l_636,3000
l_637,12259
l_638,24996
l_639,24996
l_640,21939
l_641,21939
l_642,18554
l_643,18554
l_644,12615
l_645,12615
l_646,8869
l_647,8869
l_648,8869
l_649,8869
l_650,9369
l_651,9369
l_652,19825
l_653,28195
l_654,28195
l_655,12815
l_656,9369
l_657,9369
l_658,9523
l_659,27324
l_660,15906
l_661,12000
l_662,25486
l_663,21939
l_664,25748
l_665,25748
l_666,25748
l_667,25486
l_668,10821
l_669,10821
l_670,21939
l_671,21939
l_672,10821
l_673,27324
l_674,15906
l_675,25486
l_676,25748
l_677,38827
l_678,7783
l_679,13785
l_680,1564
l_681,1564
l_682,16734
l_683,16734
l_684,8479
l_685,8479
l_686,25748
l_687,25748
l_688,25748
l_689,12259
l_690,43962
l_691,43962
l_692,43962
l_693,43962
l_694,10821
l_695,24996
l_696,9523
l_697,17823
l_698,28195
l_699,17823
l_700,25748
l_701,13785
l_702,6838
l_703,7124
l_704,28195
l_705,16700
l_706,24996
l_707,43962
l_708,15177
l_709,27324
l_710,13785
l_711,13785
l_712,25486
l_713,12615
l_714,43962
l_715,9523
l_716,12615
l_717,6838
l_718,11780
l_719,27324
l_720,9627
l_721,25748
l_722,13785
l_723,7124
l_724,25486
l_725,27324
l_726,17823
l_727,13785
l_728,17823
l_729,16204
l_730,8869
l_731,7783
l_732,15906
l_733,8296
l_734,28195
l_735,25748
l_736,25748
l_737,21939
l_738,11780
l_739,30388
l_740,16734
l_741,18554
l_742,27324
l_743,16293
l_744,34625
l_745,20157
l_746,3000
l_747,9627
l_748,28195
l_749,16734
l_750,18554
l_751,27324
l_752,13785
l_753,21939
l_754,30484
l_755,15177
l_756,43962
l_757,43962
l_758,6838
l_759,15481
l_760,8479
l_761,18554
l_762,12793
l_763,30484
l_764,9523
l_765,16734
l_766,16700
l_767,12793
l_768,17823
l_769,6838
l_770,9523
l_771,25748
l_772,43962
l_773,16293
l_774,38827
l_775,18554
l_776,6838
l_777,16700
l_778,43962
l_779,34625
l_780,28195
l_781,25748
l_782,30388
l_783,43962
l_784,27324
l_785,15177
l_786,12512
l_787,16700
l_788,28195
l_789,30388
l_790,43962
l_791,30484
l_792,8771
l_793,16293
l_794,7783
l_795,25486
l_796,28195
l_797,25486
l_798,15481
l_799,43962
l_800,8296
l_801,12562
l_802,17823
l_803,9523
l_804,16700
l_805,27324
l_806,13785
l_807,12000
l_808,18554
l_809,4318
l_810,16700
l_811,16204
l_812,27324
l_813,25486
l_814,18554
l_815,27324
l_816,15906
l_817,27324
l_818,28822
l_819,21939
l_820,20224
l_821,20157
l_822,25748
l_823,15906
l_824,7783
l_825,30388
l_826,18554
l_827,19825
l_828,24996
l_829,9627
l_830,27324
l_831,9523
l_832,43962
l_833,27324
l_834,24996
l_835,25748
l_836,25486
l_837,25486
l_838,17823
l_839,10658
l_840,16700
l_841,15481
l_842,30484
l_843,16700
l_844,18554
l_845,25748
l_846,18554
l_847,17823
l_848,8296
l_849,10821
l_850,16293
l_851,25486
l_852,15906
l_853,9523
l_854,38827
l_855,20224
l_856,13785
l_857,8771
l_858,43962
l_859,30484
l_860,13785
l_861,10821
l_862,16293
l_863,12512
l_864,3000
l_865,28822
l_866,17823
l_867,12000
l_868,27324
l_869,16700
l_870,13785
l_871,19825
l_872,27324
l_873,21939
l_874,16700
l_875,34625
l_876,27324
l_877,8296
l_878,16293
l_879,27324
l_880,9523
l_881,15481
l_882,27324
l_883,17823
l_884,28195
l_885,16293
