id,start,end,maxspeed,streetName,junction
l_95,n_id831,n_id851,30 km/h,Victoria Street W,None
l_96,n_id156,n_id175,50 km/h,Jervois Road,None
l_97,n_id1457,n_id1447,50 km/h,Parnell Road,None
l_98,n_id1470,n_id1461,50 km/h,Ayr Street,None
l_99,n_id657,n_id669,30 km/h,Cook Street,None
l_100,n_id682,n_id704,30 km/h,Vincent Street,None
l_101,n_id658,n_id668,50 km/h,New North Road,None
l_102,n_id22,n_id28,50 km/h,Richmond Road,None
l_103,n_id72,n_id73,50 km/h,Richmond Road,None
l_104,n_id164,n_id173,50 km/h,Richmond Road,None
l_105,n_id1098,n_id1089,50 km/h,Khyber Pass Road,None
l_106,n_id1046,n_id1050,50 km/h,Grafton Road,None
l_107,n_id814,n_id823,30 km/h,Upper Queen Street,None
l_108,n_id688,n_id682,30 km/h,Pitt Street,None
l_109,n_id317,n_id323,40 km/h,Ponsonby Road,None
l_110,n_id337,n_id343,50 km/h,New North Road,None
l_111,n_id749,n_id740,50 km/h,Newton Road,None
l_112,n_id162,n_id171,50 km/h,Great North Road,None
l_113,n_id300,n_id296,40 km/h,Williamson Avenue,None
l_114,n_id1262,n_id1248,30 km/h,Beach Road,None
l_115,n_id629,n_id640,50 km/h,New North Road,None
l_116,n_id679,n_id720,50 km/h,New North Road,None
l_117,n_id668,n_id679,50 km/h,New North Road,None
l_118,n_id753,n_id766,50 km/h,New North Road,None
l_119,n_id271,n_id273,50 km/h,New North Road,None
l_120,n_id313,n_id325,50 km/h,New North Road,None
l_121,n_id1426,n_id1424,50 km/h,Parnell Road,None
l_122,n_id693,n_id688,30 km/h,Pitt Street,None
l_123,n_id73,n_id75,50 km/h,Richmond Road,None
l_124,n_id101,n_id103,50 km/h,Curran Street,None
l_125,n_id1275,n_id1280,30 km/h,Anzac Avenue,None
l_126,n_id702,n_id699,30 km/h,Pitt Street,None
l_127,n_id664,n_id637,30 km/h,Hopetoun Street,None
l_128,n_id682,n_id664,30 km/h,Hopetoun Street,None
l_129,n_id124,n_id120,50 km/h,Shelly Beach Road,None
l_130,n_id449,n_id436,30 km/h,Beaumont Street,None
l_131,n_id286,n_id274,50 km/h,Picton Street,None
l_132,n_id349,n_id352,30 km/h,Hepburn Street,None
l_133,n_id1484,n_id1482,50 km/h,The Strand,None
l_134,n_id1029,n_id1039,30 km/h,Queen Street,None
l_135,n_id1474,n_id1467,50 km/h,The Strand,None
l_136,n_id1149,n_id1153,50 km/h,Grafton Road,None
l_137,n_id490,n_id514,30 km/h,Karangahape Road,None
l_138,n_id231,n_id233,40 km/h,Ponsonby Road,None
l_139,n_id1402,n_id1405,50 km/h,Broadway,None
l_140,n_id1390,n_id1383,50 km/h,The Strand,None
l_141,n_id826,n_id824,30 km/h,Mayoral Drive,None
l_142,n_id564,n_id592,50 km/h,New North Road,None
l_143,n_id1094,n_id1084,30 km/h,Customs Street E,None
l_144,n_id401,n_id398,30 km/h,Beaumont Street,None
l_145,n_id747,n_id762,30 km/h,Victoria Street W,None
l_146,n_id772,n_id775,50 km/h,Symonds Street,None
l_147,n_id766,n_id772,50 km/h,Symonds Street,None
l_148,n_id69,n_id72,50 km/h,Richmond Road,None
l_149,n_id768,n_id766,50 km/h,Mount Eden Road,None
l_150,n_id1041,n_id1046,50 km/h,Grafton Road,None
l_151,n_id298,n_id308,50 km/h,New North Road,None
l_152,n_id844,n_id828,30 km/h,Mayoral Drive,None
l_153,n_id307,n_id315,50 km/h,Great North Road,None
l_154,n_id800,n_id755,50 km/h,Alex Evans Street,None
l_155,n_id1107,n_id1098,50 km/h,Khyber Pass Road,None
l_156,n_id331,n_id348,40 km/h,Ponsonby Road,None
l_157,n_id940,n_id923,30 km/h,Mayoral Drive,None
l_158,n_id960,n_id968,30 km/h,Symonds Street,None
l_159,n_id1405,n_id1406,50 km/h,Broadway,None
l_160,n_id1537,n_id1536,50 km/h,Tamaki Drive,None
l_161,n_id1536,n_id1535,50 km/h,Tamaki Drive,None
l_162,n_id67,n_id69,50 km/h,Richmond Road,None
l_163,n_id53,n_id58,50 km/h,Great North Road,None
l_164,n_id997,n_id1005,30 km/h,Quay Street,None
